date,PR
2020-02-15,-4
2020-02-16,-2
2020-02-17,-8
2020-02-18,5
2020-02-19,7
2020-02-20,-1
2020-02-21,-3
2020-02-22,-6
2020-02-23,-1
2020-02-24,-2
2020-02-25,-5
2020-02-26,1
2020-02-27,2
2020-02-28,1
2020-02-29,-3
2020-03-01,5
2020-03-02,-1
2020-03-03,4
2020-03-04,4
2020-03-05,1
2020-03-06,-4
2020-03-07,-4
2020-03-08,-3
2020-03-09,-1
2020-03-10,1
2020-03-11,-2
2020-03-12,-9
2020-03-13,-11
2020-03-14,-21
2020-03-15,-27
2020-03-16,-36
2020-03-17,-44
2020-03-18,-52
2020-03-19,-61
2020-03-20,-63
2020-03-21,-69
2020-03-22,-70
2020-03-23,-70
2020-03-24,-72
2020-03-25,-72
2020-03-26,-75
2020-03-27,-75
2020-03-28,-78
2020-03-29,-79
2020-03-30,-75
2020-03-31,-75
2020-04-01,-77
2020-04-02,-78
2020-04-03,-78
2020-04-04,-81
2020-04-05,-88
2020-04-06,-77
2020-04-07,-77
2020-04-08,-77
2020-04-09,-76
2020-04-10,-89
2020-04-11,-86
