date,PR
2020-02-15,-3
2020-02-16,-4
2020-02-17,-27
2020-02-18,8
2020-02-19,8
2020-02-20,8
2020-02-21,10
2020-02-22,-1
2020-02-23,-4
2020-02-24,15
2020-02-25,6
2020-02-26,9
2020-02-27,9
2020-02-28,10
2020-02-29,-1
2020-03-01,-4
2020-03-02,-8
2020-03-03,9
2020-03-04,9
2020-03-05,8
2020-03-06,9
2020-03-07,-2
2020-03-08,-5
2020-03-09,12
2020-03-10,7
2020-03-11,7
2020-03-12,6
2020-03-13,6
2020-03-14,-4
2020-03-15,-11
2020-03-16,-37
2020-03-17,-51
2020-03-18,-55
2020-03-19,-57
2020-03-20,-55
2020-03-21,-45
2020-03-22,-45
2020-03-23,-59
2020-03-24,-59
2020-03-25,-60
2020-03-26,-60
2020-03-27,-58
2020-03-28,-49
2020-03-29,-48
2020-03-30,-56
2020-03-31,-62
2020-04-01,-62
2020-04-02,-63
2020-04-03,-61
2020-04-04,-52
2020-04-05,-66
2020-04-06,-59
2020-04-07,-62
2020-04-08,-62
2020-04-09,-66
2020-04-10,-84
2020-04-11,-65
