date,total
2020-02-29,12.037261598527348
2020-03-01,11.88458923580326
2020-03-02,-9.015621086279763
2020-03-03,-0.10337191226110155
2020-03-04,2.796607810940724
2020-03-05,0.9542022670255528
2020-03-06,1.8360441954683346
2020-03-07,8.036768594022718
2020-03-08,-0.1335883173835774
2020-03-09,-19.200139949665832
2020-03-10,-7.118348912010624
2020-03-11,-6.863894974137143
2020-03-12,-4.914936843737451
2020-03-13,-7.255913072173474
2020-03-14,-16.246883933221746
2020-03-15,-24.505504554327906
2020-03-16,-40.292781062265675
2020-03-17,-54.675789900564176
2020-03-18,-59.02774740675655
2020-03-19,-59.88573427852369
2020-03-20,-59.1390710045762
2020-03-21,-68.11970467439836
2020-03-22,-74.12004659687737
2020-03-23,-62.94315737578473
2020-03-24,-63.1347929977457
2020-03-25,-60.70555305960981
2020-03-26,-61.460168019115855
2020-03-27,-61.892739713500774
2020-03-28,-69.78955864169308
2020-03-29,-74.72278436221518
2020-03-30,-59.04762662065291
2020-03-31,-65.45589001228535
2020-04-01,-66.29797351293541
2020-04-02,-66.94762622306864
2020-04-03,-66.35124980617766
2020-04-04,-72.60763600364189
2020-04-05,-86.00463583268063
2020-04-06,-61.886378365053936
2020-04-07,-63.23816491000681
2020-04-08,-62.89147141965418
2020-04-09,-61.03077699895435
2020-04-10,-78.85209467276826
2020-04-11,-77.9996739808921
