date,PT,Aveiro District,Azores,Beja District,Braga,Bragança District,Castelo Branco District,Coimbra District,Évora District,Faro District,Guarda District,Leiria District,Lisbon,Madeira,Portalegre District,Porto District,Santarém District,Setubal,Viana do Castelo District,Vila Real District,Viseu District
2020-02-15,1,0,2,2,-1,2,-1,0,2,6,4,1,1,-1,3,0,1,1,2,0,1
2020-02-16,1,1,0,2,-1,3,-3,2,2,4,3,2,-1,0,2,-2,1,1,-1,1,3
2020-02-17,3,4,1,3,3,1,4,3,4,4,3,3,2,1,2,3,3,2,3,3,4
2020-02-18,3,3,1,3,3,2,3,4,4,4,3,4,3,0,1,3,2,3,0,2,4
2020-02-19,3,3,0,2,2,1,3,3,4,6,3,3,3,2,1,3,1,3,3,1,2
2020-02-20,2,2,0,2,1,1,2,2,3,3,2,2,2,0,-2,2,2,2,2,0,2
2020-02-21,1,1,-2,2,1,-1,1,1,1,4,1,1,1,-3,-1,1,0,0,1,2,1
2020-02-22,0,0,1,1,0,-1,-2,-1,5,8,-2,0,-1,-3,3,0,1,1,0,-2,-1
2020-02-23,1,-1,3,3,-1,2,3,0,1,7,9,3,0,3,3,-1,1,0,0,5,2
2020-02-24,-28,-32,-30,-25,-31,-25,-27,-26,-34,-22,-30,-30,-28,-26,-27,-28,-30,-27,-25,-26,-33
2020-02-25,-65,-72,-71,-57,-72,-58,-63,-65,-64,-49,-63,-70,-63,-63,-61,-69,-67,-62,-62,-60,-67
2020-02-26,-13,-12,-23,-17,-13,-19,-13,-14,-15,-12,-20,-14,-11,-26,-15,-10,-16,-11,-12,-18,-18
2020-02-27,0,1,-3,1,0,-1,1,1,1,2,-2,2,0,-3,-2,1,1,0,0,0,1
2020-02-28,1,1,-2,2,0,-2,2,1,2,5,0,2,1,-2,-1,1,2,0,0,0,2
2020-02-29,1,1,2,0,-1,-4,-4,1,0,8,3,1,2,0,1,2,1,1,1,0,2
2020-03-01,0,-1,1,3,-2,-3,-5,-2,-2,8,4,-1,-1,0,0,-3,1,-2,0,-5,0
2020-03-02,3,4,1,4,3,2,3,4,5,5,4,4,2,0,2,3,4,3,3,2,4
2020-03-03,3,2,2,2,1,1,3,3,4,5,3,4,2,-1,0,2,3,3,2,0,3
2020-03-04,2,2,0,5,2,1,4,2,3,6,2,3,2,-1,0,2,2,3,2,0,3
2020-03-05,2,2,1,1,1,2,3,3,3,5,2,3,2,-1,0,2,3,2,2,1,4
2020-03-06,2,2,0,3,1,-1,3,2,4,6,2,3,2,-1,0,1,3,2,1,2,3
2020-03-07,2,2,3,6,0,-2,3,2,5,11,4,0,1,-1,4,1,6,3,2,2,2
2020-03-08,1,0,3,5,-2,4,2,2,7,10,9,3,0,0,3,-3,5,1,-1,1,4
2020-03-09,2,3,1,5,0,0,3,3,4,3,4,3,1,-1,1,0,2,1,1,1,4
2020-03-10,1,2,1,5,-1,0,3,1,3,3,2,3,0,-1,1,-1,3,2,2,-1,3
2020-03-11,0,0,-1,3,-2,0,3,-1,3,3,1,2,-1,0,1,-2,1,0,1,-1,2
2020-03-12,-4,-4,0,2,-4,-2,-2,-3,2,-1,-1,0,-7,-2,-1,-7,-1,-3,-4,-3,-1
2020-03-13,-11,-10,-2,-2,-9,-7,-4,-9,-2,-5,-4,-4,-16,-4,-4,-14,-6,-12,-5,-5,-3
2020-03-14,-15,-17,-7,-13,-15,-21,-13,-16,-10,-6,-11,-15,-17,-13,-14,-18,-11,-15,-13,-18,-14
2020-03-15,-23,-27,-12,-17,-26,-31,-23,-23,-20,-12,-20,-24,-25,-17,-22,-27,-19,-23,-27,-27,-22
2020-03-16,-41,-36,-36,-33,-37,-43,-36,-39,-36,-35,-40,-36,-47,-39,-34,-42,-37,-45,-35,-43,-37
2020-03-17,-48,-42,-47,-40,-43,-50,-42,-45,-43,-44,-43,-40,-54,-46,-40,-48,-43,-52,-42,-49,-45
2020-03-18,-51,-47,-51,-41,-46,-53,-44,-48,-45,-45,-46,-42,-56,-53,-42,-50,-45,-54,-47,-51,-48
2020-03-19,-57,-53,-56,-48,-52,-58,-51,-54,-50,-53,-53,-49,-64,-60,-48,-56,-54,-62,-54,-56,-53
2020-03-20,-60,-56,-59,-51,-54,-60,-55,-58,-53,-58,-56,-52,-67,-63,-51,-59,-54,-65,-57,-58,-57
