date,PY
2020-02-15,-3
2020-02-16,-7
2020-02-17,0
2020-02-18,-3
2020-02-19,-4
2020-02-20,-1
2020-02-21,-4
2020-02-22,-2
2020-02-23,-3
2020-02-24,1
2020-02-25,-7
2020-02-26,-4
2020-02-27,0
2020-02-28,2
2020-02-29,4
2020-03-01,2
2020-03-02,4
2020-03-03,2
2020-03-04,0
2020-03-05,2
2020-03-06,1
2020-03-07,3
2020-03-08,0
2020-03-09,0
2020-03-10,-1
2020-03-11,-13
2020-03-12,-14
2020-03-13,-20
2020-03-14,-27
2020-03-15,-41
2020-03-16,-35
2020-03-17,-41
2020-03-18,-48
2020-03-19,-48
2020-03-20,-48
2020-03-21,-69
2020-03-22,-74
2020-03-23,-69
2020-03-24,-72
2020-03-25,-72
2020-03-26,-70
2020-03-27,-70
2020-03-28,-70
2020-03-29,-68
2020-03-30,-55
2020-03-31,-52
2020-04-01,-59
2020-04-02,-61
2020-04-03,-64
2020-04-04,-70
2020-04-05,-73
2020-04-06,-70
2020-04-07,-66
2020-04-08,-67
2020-04-09,-75
2020-04-10,-87
2020-04-11,-75
