date,RE
2020-02-15,-4
2020-02-16,1
2020-02-17,8
2020-02-18,19
2020-02-19,17
2020-02-20,9
2020-02-21,-6
2020-02-22,-4
2020-02-23,3
2020-02-24,3
2020-02-25,10
2020-02-26,10
2020-02-27,1
2020-02-28,-16
2020-02-29,-9
2020-03-01,-8
2020-03-02,-11
2020-03-03,-11
2020-03-04,-14
2020-03-05,-10
2020-03-06,-28
2020-03-07,-25
2020-03-08,-18
2020-03-09,-12
2020-03-10,-5
2020-03-11,-10
2020-03-12,-1
2020-03-13,-25
2020-03-14,-25
2020-03-15,-14
2020-03-16,-18
2020-03-17,-17
2020-03-18,-49
2020-03-19,-49
2020-03-20,-69
2020-03-21,-71
2020-03-22,-74
2020-03-23,-78
2020-03-24,-75
2020-03-25,-83
2020-03-26,-74
2020-03-27,-87
2020-03-28,-84
2020-03-29,-82
2020-03-30,-82
2020-03-31,-88
2020-04-01,-87
2020-04-02,-83
2020-04-03,-91
2020-04-04,-92
2020-04-05,-91
2020-04-06,-87
2020-04-07,-85
2020-04-08,-86
2020-04-09,-82
2020-04-10,-88
2020-04-11,-91
