date,total
2020-02-29,-12.358191251192691
2020-03-01,-11.580184018707913
2020-03-02,-19.05033808582699
2020-03-03,-17.156303966702534
2020-03-04,-11.509529079122093
2020-03-05,-11.708647545227588
2020-03-06,-25.443807221303043
2020-03-07,-15.728753028252653
2020-03-08,-11.02859375171406
2020-03-09,-13.01014364828004
2020-03-10,-9.435646022870097
2020-03-11,3.6828887259109195
2020-03-12,-6.272231682323111
2020-03-13,-21.202905052072285
2020-03-14,-20.22256776531902
2020-03-15,-21.50640013347502
2020-03-16,-36.70684690891551
2020-03-17,-64.65649579439295
2020-03-18,-81.02596066116249
2020-03-19,-82.27607135360707
2020-03-20,-88.70005057663154
2020-03-21,-89.87629474132731
2020-03-22,-94.29624295064485
2020-03-23,-90.60452235728572
2020-03-24,-90.92648407062565
2020-03-25,-91.15450683019807
2020-03-26,-92.83497033648356
2020-03-27,-91.88112865207498
2020-03-28,-92.49775357936942
2020-03-29,-95.95021085458566
2020-03-30,-91.53427713047186
2020-03-31,-93.9285161059823
2020-04-01,-92.99635264167391
2020-04-02,-91.16253580060555
2020-04-03,-92.9409527458623
2020-04-04,-91.74865064035157
2020-04-05,-95.39942348463258
2020-04-06,-91.06939974387879
2020-04-07,-90.49773705086623
2020-04-08,-89.77352392011157
2020-04-09,-90.74422644237586
2020-04-10,-91.52705105710513
2020-04-11,-91.00035059837447
