date,RO,Alba County,Arad County,Argeș County,Bacău County,Bihor County,Bistrița-Năsăud County,Botoșani County,Brăila County,Brașov County,Bucharest,Buzău County,Călărași County,Caraș-Severin County,Cluj County,Constanța County,Covasna County,Dâmbovița County,Dolj County,Galați,Giurgiu County,Gorj County,Harghita County,Hunedoara County,Ialomița County,Iași County,Ilfov County,Maramureș County,Mehedinți County,Mureș County,Neamț County,Olt County,Prahova,Sălaj,Satu Mare County,Sibiu,Suceava County,Teleorman County,Timiș County,Tulcea County,Vâlcea County,Vaslui County,Vrancea County
2020-02-15,-5,0,14,1,-10,8,3,-9,-14,-7,-2,-12,-6,3,25,-4,-15,-6,7,-8,1,6,0,9,7,-16,10,2,15,6,-9,10,3,23,7,11,-1,5,32,0,4,-3,-2
2020-02-16,24,10,40,14,2,28,27,3,15,17,24,6,18,25,41,59,-7,14,45,23,27,17,28,31,16,7,45,39,37,43,14,42,18,28,14,40,8,20,53,37,15,6,7
2020-02-17,11,5,13,7,-1,14,4,1,16,23,-3,-3,29,22,21,10,20,6,14,11,19,5,22,32,17,7,28,19,18,19,11,12,12,19,13,19,4,20,39,15,8,-1,4
2020-02-18,9,0,11,12,2,1,-2,2,35,11,4,9,42,14,14,30,21,12,15,21,28,11,8,18,21,2,31,10,2,9,7,20,17,12,10,9,-3,12,36,28,9,-1,5
2020-02-19,-2,4,16,-10,4,11,7,3,15,11,-26,0,6,7,17,13,11,-10,-8,26,-2,-8,17,21,14,4,7,20,-3,14,21,-9,8,20,15,13,-2,2,25,29,-9,4,9
2020-02-20,-7,-1,-2,-5,5,-2,3,2,13,6,-18,1,-12,-5,1,6,6,-9,-11,11,-6,-5,12,-8,-1,1,1,-6,-16,10,4,-6,3,-2,0,4,-1,-7,4,10,-5,3,1
2020-02-21,-6,-10,-1,-9,-2,5,-2,-2,16,-21,-2,-1,7,-9,9,3,-16,-14,-4,13,4,6,2,-7,16,-10,16,-7,4,5,6,4,-17,-7,-4,2,-12,0,0,17,-8,-3,6
2020-02-22,-4,15,26,0,-10,17,-5,0,-8,-10,-6,-2,8,-2,26,-10,-12,-10,-2,1,11,12,13,11,12,-11,7,5,10,9,3,4,0,18,13,4,-12,10,38,7,1,9,7
2020-02-23,9,1,16,10,2,15,4,13,14,13,-3,1,-3,20,26,33,-4,4,37,13,13,12,11,16,7,13,15,1,22,9,-7,10,6,2,0,16,-8,16,17,13,9,8,6
2020-02-24,-2,-2,1,-2,-14,10,-6,-10,0,1,-10,-5,-9,7,7,-5,-11,-1,-8,-9,3,-5,-2,10,5,-13,15,-1,-7,-8,-1,-8,-5,2,1,-6,-12,12,18,1,-3,-12,-9
2020-02-25,11,8,24,10,3,14,11,1,13,28,0,1,26,27,45,15,37,8,18,8,25,4,24,44,12,3,27,16,15,22,16,16,17,27,11,27,-4,14,47,20,11,-3,4
2020-02-26,12,8,2,5,12,3,-2,3,27,28,9,14,51,10,18,56,29,8,30,27,36,3,21,13,37,12,41,-1,29,15,30,28,26,-2,-1,20,0,23,9,38,11,5,17
2020-02-27,-9,-4,-3,-11,-15,2,0,-7,0,-19,-16,-7,7,0,4,6,-8,-4,-12,-1,2,-6,-15,-8,26,-20,9,10,14,-9,-17,-13,-5,3,5,-7,-12,10,9,10,-9,-8,-2
2020-02-28,-10,-12,-8,-12,-6,3,0,-2,14,-20,-12,-8,21,-17,10,9,-10,-11,-9,13,-4,-7,-13,-16,24,-3,9,-1,2,-3,7,-16,-18,-8,-4,-4,-17,-4,-10,14,-1,-3,2
2020-02-29,-2,-1,5,0,-11,10,-2,4,-10,-21,4,-8,10,12,36,-17,-20,-3,15,17,7,0,-8,10,11,-3,25,18,34,11,8,-6,-2,30,6,-2,-13,10,25,21,11,3,4
2020-03-01,27,6,1,30,-4,20,14,5,18,35,36,14,34,28,47,17,13,39,54,48,50,20,4,5,32,4,65,53,81,49,20,11,28,30,8,32,-3,33,7,38,41,3,4
2020-03-02,6,-5,-1,5,-6,8,-2,-1,22,10,-2,1,29,16,17,23,0,6,26,8,27,0,-6,11,23,0,32,2,25,-1,7,-5,2,3,-4,8,-3,20,16,13,10,-2,-3
2020-03-03,12,4,-1,10,13,0,9,6,36,16,9,11,76,9,47,49,19,6,7,21,47,-1,8,21,26,17,41,7,6,17,23,4,12,2,-3,16,-1,21,5,31,6,8,8
2020-03-04,5,0,-5,7,16,-6,0,7,40,21,5,14,28,-16,11,33,24,1,2,34,27,-12,16,-3,35,13,37,-3,-18,15,38,0,14,-2,-9,13,4,22,-17,34,6,9,18
2020-03-05,-6,-5,8,-8,-9,6,-12,1,1,-17,-12,-13,13,6,7,17,-6,-12,-3,-5,10,-7,-13,-2,7,-14,17,-6,11,-3,-4,-1,-19,15,0,-3,-10,11,20,12,-15,-4,-7
2020-03-06,5,-6,3,-3,5,12,5,5,45,-6,22,2,48,-12,25,27,3,-12,13,24,36,8,2,-2,34,10,43,4,7,19,16,7,-18,3,1,12,-12,14,-4,27,-6,5,10
