date,RO,Alba County,Arad County,Argeș County,Bacău County,Bihor County,Bistrița-Năsăud County,Botoșani County,Brăila County,Brașov County,Bucharest,Buzău County,Călărași County,Caraș-Severin County,Cluj County,Constanța County,Covasna County,Dâmbovița County,Dolj County,Galați,Giurgiu County,Gorj County,Harghita County,Hunedoara County,Ialomița County,Iași County,Ilfov County,Maramureș County,Mehedinți County,Mureș County,Neamț County,Olt County,Prahova,Sălaj,Satu Mare County,Sibiu,Suceava County,Teleorman County,Timiș County,Tulcea County,Vâlcea County,Vaslui County,Vrancea County
2020-02-15,4,3,7,3,3,2,3,4,4,1,3,3,6,6,6,6,6,3,5,3,4,5,5,2,5,2,4,2,8,5,3,6,3,6,6,8,0,6,7,2,4,-1,-1
2020-02-16,4,5,4,4,1,5,0,2,3,2,3,3,1,3,6,5,0,3,7,5,6,5,1,4,6,4,4,3,5,4,5,6,0,5,2,6,2,6,5,1,1,2,2
2020-02-17,2,1,2,2,1,1,2,1,3,1,1,1,4,2,1,2,2,1,2,1,4,3,1,2,2,5,1,1,0,3,2,1,1,1,2,0,1,3,3,3,2,3,1
2020-02-18,2,1,1,2,1,2,0,3,3,1,3,2,4,2,1,3,1,2,2,3,5,2,1,1,4,5,1,1,2,2,3,2,1,2,0,0,0,2,3,2,2,2,2
2020-02-19,2,1,3,1,2,2,1,2,3,1,2,3,2,1,1,4,2,1,1,3,6,-1,1,1,3,6,2,0,-1,3,2,1,2,4,1,1,1,3,3,2,0,3,1
2020-02-20,3,0,1,3,1,1,0,3,5,1,4,2,4,1,0,2,0,1,2,5,5,1,-1,2,3,6,3,0,-2,2,2,1,2,0,2,2,2,2,3,3,2,3,3
2020-02-21,22,22,22,21,32,22,31,38,27,18,14,32,28,25,15,29,28,28,22,31,27,31,26,21,28,23,17,28,26,26,34,28,22,32,28,19,36,26,19,32,28,40,34
2020-02-22,5,6,7,4,4,3,3,9,7,4,5,6,8,6,7,7,5,4,5,5,6,3,3,3,2,5,4,4,8,8,7,5,4,2,8,8,5,4,8,7,2,6,4
2020-02-23,4,4,2,6,5,3,-1,2,4,2,3,4,4,6,5,5,6,3,6,4,9,2,3,4,4,3,3,3,6,4,3,3,3,1,4,5,2,3,4,4,4,3,3
2020-02-24,2,0,2,1,0,1,3,0,2,1,2,1,5,1,2,3,2,2,2,1,3,2,1,1,2,3,1,1,1,1,0,2,1,1,2,1,0,1,3,3,2,1,2
2020-02-25,3,2,3,2,1,2,3,3,2,2,3,3,6,4,4,4,4,3,3,2,5,2,2,3,5,6,2,2,3,4,2,5,3,4,3,3,2,2,4,3,3,2,3
2020-02-26,3,2,3,2,2,1,2,4,3,2,3,3,6,2,4,5,3,4,3,1,6,1,1,2,5,6,2,1,2,3,2,2,3,4,1,3,2,3,3,3,3,4,2
2020-02-27,3,0,1,4,0,2,2,2,4,2,4,3,7,1,3,4,1,3,2,4,6,1,0,2,2,5,3,1,1,2,1,2,3,2,3,2,2,4,3,4,2,2,3
2020-02-28,23,23,22,22,32,23,33,41,29,19,14,33,31,25,17,33,30,31,21,31,28,28,27,23,30,23,18,26,27,28,35,28,24,36,29,20,36,29,19,31,28,42,36
2020-02-29,6,6,4,5,6,1,5,12,5,2,7,6,11,3,6,8,5,7,10,6,8,7,2,5,5,7,6,3,8,10,5,8,5,7,9,8,4,7,7,10,6,5,4
2020-03-01,7,7,2,9,6,4,4,5,9,6,8,8,11,9,5,12,6,8,13,8,10,5,2,8,10,6,7,3,10,7,7,11,6,5,2,9,5,11,4,6,9,6,6
2020-03-02,3,2,3,4,4,2,3,3,5,3,3,3,5,5,4,5,4,4,4,2,5,5,3,3,4,6,2,1,4,4,2,4,4,4,2,3,3,5,4,4,3,4,3
2020-03-03,4,3,3,4,4,4,3,5,5,3,4,4,7,3,4,6,2,4,3,3,4,4,2,3,4,7,3,3,3,5,3,4,4,3,2,3,2,3,4,2,3,4,4
2020-03-04,4,3,3,3,4,1,3,3,5,3,4,4,6,2,4,6,3,4,3,3,5,1,3,2,5,6,4,2,2,4,3,4,3,4,1,3,3,6,3,3,3,4,2
2020-03-05,4,2,3,4,3,4,2,4,6,2,5,3,9,3,3,5,3,2,5,4,7,5,0,2,5,6,5,3,4,4,2,4,2,4,4,3,3,7,4,3,2,4,2
2020-03-06,25,24,23,24,35,26,33,42,29,20,16,36,34,28,18,32,30,31,24,33,30,34,29,22,33,26,20,30,29,30,35,29,24,35,30,21,38,32,20,29,31,44,36
2020-03-07,7,7,3,10,9,1,3,11,7,5,7,9,17,5,7,10,8,9,6,8,12,5,8,2,7,9,6,1,9,12,9,6,7,2,5,9,7,13,5,5,5,9,8
2020-03-08,6,8,5,5,5,6,7,5,10,5,4,9,13,9,8,10,9,4,6,7,12,3,9,3,9,4,5,7,1,9,7,8,0,11,8,8,5,12,4,12,2,8,4
2020-03-09,1,2,3,1,2,3,4,1,3,0,0,0,5,3,3,4,0,0,1,1,1,2,4,2,4,4,0,2,1,3,1,0,0,3,3,2,1,2,2,5,0,3,3
2020-03-10,0,2,1,2,1,3,3,1,1,0,-2,-2,2,0,3,2,-5,1,-1,-1,1,1,1,0,4,3,-2,1,-2,2,1,-2,1,2,2,2,1,0,1,1,1,-11,1
2020-03-11,-15,-16,-10,-14,-19,-15,-18,-23,-14,-12,-14,-19,-13,-18,-12,-13,-18,-17,-13,-18,-10,-20,-17,-15,-13,-13,-16,-18,-19,-16,-18,-17,-15,-21,-20,-13,-21,-15,-12,-18,-19,-22,-21
2020-03-12,-18,-17,-14,-15,-21,-17,-21,-23,-12,-14,-21,-20,-13,-19,-17,-16,-18,-19,-14,-19,-11,-21,-19,-16,-15,-19,-21,-20,-20,-17,-20,-17,-17,-23,-19,-14,-24,-15,-16,-16,-20,-24,-22
2020-03-13,-5,0,3,-2,1,1,2,0,5,-3,-18,5,4,-1,-10,3,0,1,-1,1,5,2,1,0,5,-10,-14,-2,0,1,0,3,-2,1,1,-2,-3,5,-5,4,1,1,1
2020-03-14,-4,-2,1,-4,-1,-2,-5,2,-2,-4,-9,0,6,-3,-2,-4,-1,-1,-3,-2,0,-3,-3,-6,-2,-5,-7,-6,-6,3,-3,0,-3,-2,1,0,-5,1,-1,0,-5,-4,-4
2020-03-15,-10,-6,-8,-8,-12,-7,-12,-9,-5,-8,-13,-10,-8,-13,-6,-10,-13,-9,-10,-10,-6,-14,-7,-12,-9,-10,-13,-13,-12,-6,-12,-11,-12,-13,-9,-6,-11,-10,-6,-14,-14,-13,-12
2020-03-16,-30,-23,-20,-24,-28,-25,-28,-31,-21,-25,-40,-27,-23,-26,-33,-29,-26,-27,-25,-28,-22,-26,-24,-26,-25,-34,-37,-27,-28,-25,-31,-28,-27,-27,-25,-24,-33,-24,-27,-24,-26,-32,-29
2020-03-17,-33,-25,-22,-26,-30,-28,-30,-32,-24,-29,-44,-28,-26,-27,-38,-32,-28,-30,-28,-31,-24,-30,-28,-30,-25,-38,-40,-30,-29,-28,-34,-25,-29,-31,-28,-27,-35,-25,-32,-26,-28,-34,-30
2020-03-18,-35,-27,-25,-29,-31,-29,-32,-32,-24,-32,-46,-28,-27,-31,-41,-34,-30,-31,-30,-32,-26,-33,-30,-32,-26,-40,-42,-32,-31,-30,-35,-28,-31,-34,-31,-28,-37,-27,-34,-26,-30,-35,-31
2020-03-19,-36,-30,-28,-34,-34,-32,-34,-34,-25,-34,-46,-29,-27,-32,-43,-35,-33,-33,-32,-33,-26,-35,-33,-33,-27,-42,-43,-34,-35,-32,-37,-29,-31,-36,-32,-30,-39,-27,-36,-27,-32,-36,-33
