date,SE,Blekinge County,Dalarna County,Gavleborg County,Gotland County,Halland County,Jamtland County,Jonkoping County,Kalmar County,Kronoberg County,Norrbotten County,Örebro County,Östergötland County,Skåne County,Södermanland County,Stockholm County,Uppsala County,Varmland County,Västerbotten County,Västernorrland County,Västmanland County,Västra Götaland County
2020-02-15,2,-6,2,0,-1,3,12,-4,-2,-3,14,1,6,-1,-3,3,-5,22,16,2,4,-3
2020-02-16,-10,-15,-8,-8,-7,-16,7,-22,-15,-16,-11,-14,-11,-16,-13,-7,-11,8,-14,-11,-6,-17
2020-02-17,-4,-5,5,-2,-5,0,14,-7,-2,-1,-2,-8,-4,-3,-6,-3,-7,0,1,-3,-4,-6
2020-02-18,0,1,13,4,1,4,20,-1,0,-1,2,3,-1,0,-2,0,-5,2,1,1,-1,0
2020-02-19,3,1,12,4,-4,6,31,2,5,2,0,5,4,-1,2,2,2,13,5,3,6,5
2020-02-20,1,6,8,2,13,3,15,3,6,0,2,2,5,1,1,1,-3,13,7,3,5,-1
2020-02-21,5,1,11,6,9,2,14,5,5,-4,6,5,8,1,1,5,0,10,0,8,10,4
2020-02-22,0,-6,6,14,-5,-1,18,0,-7,-6,15,-3,-3,-6,-6,-2,-5,6,12,-2,8,0
2020-02-23,2,5,25,4,-9,0,10,-1,-5,-1,7,2,2,-9,2,0,-2,5,6,0,7,1
2020-02-24,2,0,22,7,7,0,18,2,2,3,2,4,0,-2,1,1,1,9,3,3,2,1
2020-02-25,8,6,29,18,10,9,36,1,7,6,14,12,9,7,17,6,14,15,15,17,13,3
2020-02-26,5,4,22,13,9,9,32,1,4,1,8,14,5,2,7,-1,10,14,12,8,10,5
2020-02-27,7,11,29,18,17,14,25,12,8,7,16,19,7,16,2,-3,5,18,17,15,11,7
2020-02-28,7,7,20,11,9,2,17,8,9,2,11,15,10,6,15,1,9,13,10,9,7,5
2020-02-29,8,16,17,18,17,14,18,10,11,9,18,10,7,9,22,-2,8,6,17,8,9,7
2020-03-01,-1,9,7,-7,12,0,-2,-5,1,3,3,-2,4,3,5,-8,-3,-2,4,-5,0,-3
2020-03-02,1,1,3,5,5,5,4,0,-1,4,13,5,0,5,1,-1,0,6,6,-7,3,2
2020-03-03,0,1,-2,0,3,4,13,0,3,3,11,-2,3,2,1,-3,-4,6,8,-2,3,2
2020-03-04,-2,1,-4,-13,9,2,12,-1,7,4,8,2,1,-1,-5,-6,-7,-1,4,-8,-5,0
2020-03-05,0,8,6,-1,9,5,16,4,7,2,2,5,3,4,2,-2,-2,-1,0,-5,3,0
2020-03-06,2,6,1,2,8,1,6,8,6,2,1,6,4,-1,2,3,-2,-1,-4,-6,2,2
2020-03-07,5,14,-2,7,10,11,6,11,7,3,-1,2,6,8,4,4,-3,11,-2,-15,4,4
2020-03-08,1,14,-6,-3,22,2,5,4,2,0,5,1,4,0,2,0,-6,2,-4,-6,4,-5
2020-03-09,-2,-3,1,4,-1,-4,6,-3,1,1,2,-2,0,-4,0,-3,-6,2,3,3,-1,-3
2020-03-10,-4,-4,2,0,3,-5,9,-4,-3,0,2,3,-3,-4,-3,-5,-8,2,9,0,0,-5
2020-03-11,-4,-2,1,0,0,-3,7,-3,0,-1,-5,-2,-3,-5,-3,-7,-7,0,0,-3,0,-4
2020-03-12,-12,-5,-1,-5,-3,-15,4,-13,-7,-13,-1,-12,-9,-13,-11,-16,-9,0,1,-2,-1,-13
2020-03-13,-13,-6,-7,-8,-14,-15,-6,-21,-13,-14,-11,-10,-9,-16,-8,-16,-12,-7,-13,-12,-10,-15
