date,SE,Blekinge County,Dalarna County,Gavleborg County,Gotland County,Halland County,Jamtland County,Jonkoping County,Kalmar County,Kronoberg County,Norrbotten County,Örebro County,Östergötland County,Skåne County,Södermanland County,Stockholm County,Uppsala County,Varmland County,Västerbotten County,Västernorrland County,Västmanland County,Västra Götaland County
2020-02-15,4,-3,9,7,0,5,23,-5,-7,-1,9,2,2,4,-4,5,-5,50,-3,2,8,1
2020-02-16,-11,-14,-11,-3,-16,-18,7,-15,-16,-18,0,-12,-9,-12,-7,-4,-12,-3,-6,-8,-2,-20
2020-02-17,-6,-16,1,-2,-8,-11,27,-5,-17,-17,8,-18,-16,-13,-10,-1,-14,-1,3,0,-2,-6
2020-02-18,-4,-13,4,2,2,-8,30,-3,-11,-9,4,-13,-15,-10,-7,-1,-14,2,3,4,-4,-2
2020-02-19,-3,-10,8,3,-9,-6,23,-1,-15,-11,5,-10,-15,-10,-9,-1,-9,4,-1,-1,3,1
2020-02-20,-6,-15,2,-1,-2,-14,9,-2,-11,-14,0,-15,-12,-13,-10,-1,-13,-1,-2,-4,-1,-5
2020-02-21,-2,-11,12,6,10,-7,21,1,-12,-12,8,-13,-12,-11,-1,3,-13,2,4,2,1,1
2020-02-22,-2,-11,11,0,0,-7,17,-6,-14,-13,16,-8,-6,-4,-7,-2,-7,1,9,-4,0,-4
2020-02-23,0,7,25,11,-9,-2,14,-1,-2,3,15,3,1,-3,2,2,-2,7,13,4,6,-6
2020-02-24,-3,2,2,-1,-14,1,22,1,1,0,3,-4,-3,-2,1,-7,-3,-9,-1,1,-10,3
2020-02-25,-3,1,0,-1,-4,1,28,1,2,2,4,-1,0,1,3,-8,-1,-6,8,5,-10,1
2020-02-26,-5,-1,-4,-4,-4,0,28,-1,-2,0,2,-1,-1,1,-3,-12,-2,-10,4,3,-12,-2
2020-02-27,-2,5,-1,1,12,6,18,4,1,0,8,-2,5,4,1,-10,-2,-7,2,2,-7,3
2020-02-28,-1,7,9,4,-4,6,19,4,2,-1,10,0,6,1,6,-7,1,-8,8,5,-4,3
2020-02-29,5,9,21,20,0,9,26,5,0,5,12,3,4,5,0,1,1,1,5,13,5,4
2020-03-01,-6,9,15,2,16,-8,-6,-4,-2,-8,6,-5,0,-2,-4,-6,-10,-5,9,-6,-5,-9
2020-03-02,-3,-5,1,-5,2,6,0,-4,-6,-6,0,0,-3,-3,-1,-2,-3,-2,-10,-15,-2,-2
2020-03-03,-4,0,-2,-8,10,0,2,-4,2,-3,-7,-6,-4,-3,-5,-5,-4,1,-8,-12,-6,-2
2020-03-04,-5,-4,-4,-11,4,-1,-1,-4,-6,-6,-7,-5,-6,-1,-11,-6,5,-4,-11,-18,-7,-5
2020-03-05,-4,1,-2,-4,0,4,5,-1,-1,-4,-7,-6,-1,-1,-2,-6,3,-5,-11,-16,-1,-3
2020-03-06,-1,-1,7,-3,-4,2,9,3,-3,7,-6,-2,-1,-3,2,0,3,-2,-11,-11,2,-1
2020-03-07,6,5,2,3,0,20,25,7,-2,16,10,5,0,7,-3,3,13,0,4,7,11,6
2020-03-08,-6,4,-13,-3,-9,-8,2,-2,-2,2,0,-8,-1,-2,-3,-3,1,-10,-2,-9,-7,-15
2020-03-09,-5,-10,-1,-2,-2,-4,3,-3,-4,-9,3,-6,-4,-6,-1,-5,-3,-2,-1,0,-3,-5
2020-03-10,-6,-4,-1,-1,16,-4,5,-5,-1,-4,2,-8,-5,-8,-4,-7,-1,-2,2,2,-7,-6
2020-03-11,-7,-6,1,-5,-5,-2,1,-6,-7,-9,-2,-9,-11,-6,-11,-10,-4,-3,-6,-8,-6,-8
2020-03-12,-16,-15,-4,-6,-8,-16,-2,-15,-12,-17,-4,-12,-13,-16,-15,-20,-12,-7,-9,-12,-13,-17
2020-03-13,-19,-11,-7,-12,-13,-17,-8,-15,-15,-20,-14,-19,-19,-23,-16,-22,-20,-12,-12,-12,-17,-21
2020-03-14,-13,2,-3,-12,0,3,1,-12,-14,-7,-4,-7,-16,-14,-14,-21,-20,-5,-10,-9,-10,-12
2020-03-15,-30,-1,-25,-19,-27,-29,-24,-25,-22,-28,-13,-26,-26,-34,-31,-32,-30,-27,-15,-19,-29,-38
2020-03-16,-25,-16,-14,-17,-24,-19,-8,-19,-20,-30,-18,-19,-26,-28,-28,-31,-27,-17,-18,-14,-21,-23
2020-03-17,-32,-18,-19,-25,-6,-23,-17,-24,-23,-27,-23,-28,-30,-32,-31,-40,-33,-21,-23,-18,-34,-30
2020-03-18,-37,-25,-23,-26,-22,-33,-17,-31,-25,-35,-22,-33,-37,-39,-40,-45,-39,-27,-23,-22,-39,-36
2020-03-19,-35,-21,-20,-27,-20,-25,-24,-29,-23,-33,-28,-31,-33,-37,-35,-43,-36,-23,-30,-28,-33,-35
2020-03-20,-37,-26,-22,-31,-31,-26,-25,-30,-30,-33,-31,-35,-38,-41,-42,-45,-42,-31,-29,-28,-40,-34
2020-03-21,-28,-10,-16,-25,0,-5,-17,-20,-18,-16,-19,-21,-28,-29,-35,-40,-33,-14,-26,-14,-24,-23
2020-03-22,-33,-18,-22,-25,-36,-17,-35,-25,-23,-30,-35,-26,-32,-39,-35,-41,-34,-22,-29,-25,-26,-31
2020-03-23,-38,-26,-28,-29,-25,-28,-32,-28,-26,-36,-35,-37,-36,-39,-42,-46,-41,-32,-32,-29,-39,-37
2020-03-24,-37,-24,-27,-31,-16,-26,-30,-27,-20,-33,-31,-31,-33,-39,-37,-46,-41,-26,-29,-28,-39,-36
2020-03-25,-36,-24,-25,-28,-24,-25,-29,-25,-24,-29,-32,-30,-34,-38,-39,-45,-39,-28,-30,-26,-37,-36
2020-03-26,-35,-22,-24,-28,-20,-24,-31,-24,-23,-31,-31,-29,-30,-39,-35,-44,-35,-25,-33,-31,-33,-33
2020-03-27,-35,-27,-24,-28,-33,-23,-29,-23,-24,-30,-36,-31,-33,-39,-40,-44,-38,-29,-34,-27,-35,-32
2020-03-28,-29,-3,-19,-23,0,-10,-35,-20,-11,-12,-28,-25,-27,-29,-33,-42,-34,-15,-33,-14,-27,-27
2020-03-29,-36,-23,-30,-27,-45,-25,-46,-29,-27,-35,-38,-28,-33,-43,-41,-45,-36,-25,-32,-26,-32,-34
2020-03-30,-39,-30,-31,-28,-36,-27,-31,-28,-32,-36,-36,-34,-37,-40,-42,-49,-43,-28,-33,-29,-39,-35
2020-03-31,-37,-25,-24,-30,-24,-24,-36,-29,-23,-33,-36,-30,-35,-38,-37,-47,-41,-22,-32,-29,-37,-35
2020-04-01,-38,-30,-26,-24,-22,-27,-32,-29,-26,-36,-33,-30,-37,-42,-41,-46,-38,-26,-34,-27,-38,-37
2020-04-02,-43,-30,-35,-35,-32,-32,-43,-35,-32,-38,-40,-39,-39,-44,-42,-50,-44,-33,-38,-34,-43,-43
2020-04-03,-41,-29,-34,-35,-39,-31,-40,-31,-27,-40,-39,-33,-39,-44,-44,-49,-46,-31,-38,-33,-39,-37
2020-04-04,-32,-14,-20,-26,0,-9,-38,-23,-12,-15,-28,-20,-30,-33,-39,-42,-37,-17,-33,-20,-31,-32
2020-04-05,-37,-7,-38,-26,-44,-15,-45,-25,-19,-29,-35,-33,-35,-36,-45,-51,-43,-34,-35,-30,-39,-32
2020-04-06,-35,-21,-20,-23,-31,-19,-34,-23,-22,-34,-39,-27,-32,-38,-38,-45,-39,-18,-37,-26,-33,-31
2020-04-07,-37,-17,-25,-27,-16,-20,-35,-22,-12,-28,-30,-30,-34,-36,-37,-49,-44,-14,-29,-26,-41,-33
2020-04-08,-36,-15,-24,-24,-25,-23,-35,-24,-16,-28,-32,-30,-33,-37,-38,-45,-41,-18,-31,-23,-38,-36
2020-04-09,-37,-14,-26,-24,-29,-23,-36,-25,-11,-30,-31,-31,-34,-40,-35,-48,-42,-16,-32,-28,-35,-33
2020-04-10,-54,-38,-44,-51,-57,-45,-57,-47,-41,-56,-58,-48,-56,-59,-52,-60,-60,-37,-57,-51,-56,-49
2020-04-11,-36,-16,-25,-26,0,-17,-41,-24,-13,-25,-25,-26,-34,-38,-34,-45,-39,-19,-37,-16,-33,-41
