date,SG
2020-02-15,-10
2020-02-16,-18
2020-02-17,-7
2020-02-18,-7
2020-02-19,-6
2020-02-20,-10
2020-02-21,-14
2020-02-22,-5
2020-02-23,-3
2020-02-24,-12
2020-02-25,-2
2020-02-26,-4
2020-02-27,-5
2020-02-28,-8
2020-02-29,-2
2020-03-01,-1
2020-03-02,-7
2020-03-03,-3
2020-03-04,-7
2020-03-05,-13
2020-03-06,-8
2020-03-07,-16
2020-03-08,-7
2020-03-09,-9
2020-03-10,-4
2020-03-11,-9
2020-03-12,-8
2020-03-13,-9
2020-03-14,-1
2020-03-15,4
2020-03-16,1
2020-03-17,2
2020-03-18,-3
2020-03-19,-2
2020-03-20,-6
2020-03-21,-15
2020-03-22,-18
2020-03-23,-23
2020-03-24,-9
2020-03-25,-13
2020-03-26,-15
2020-03-27,-24
2020-03-28,-15
2020-03-29,-12
2020-03-30,-16
2020-03-31,-10
2020-04-01,-15
2020-04-02,-22
2020-04-03,-29
2020-04-04,-27
2020-04-05,-27
2020-04-06,-26
2020-04-07,-37
2020-04-08,-46
2020-04-09,-37
2020-04-10,-44
2020-04-11,-51
