date,SG
2020-02-15,-14
2020-02-16,-19
2020-02-17,-12
2020-02-18,-13
2020-02-19,-14
2020-02-20,-14
2020-02-21,-11
2020-02-22,-11
2020-02-23,-14
2020-02-24,-12
2020-02-25,-10
2020-02-26,-12
2020-02-27,-12
2020-02-28,-8
2020-02-29,-8
2020-03-01,-11
2020-03-02,-8
2020-03-03,-8
2020-03-04,-11
2020-03-05,-12
2020-03-06,-8
2020-03-07,-10
2020-03-08,-11
2020-03-09,-11
2020-03-10,-11
2020-03-11,-13
2020-03-12,-13
2020-03-13,-10
2020-03-14,-11
2020-03-15,-14
2020-03-16,-10
2020-03-17,-8
2020-03-18,-11
2020-03-19,-13
2020-03-20,-11
2020-03-21,-13
2020-03-22,-18
2020-03-23,-16
2020-03-24,-13
2020-03-25,-16
2020-03-26,-18
2020-03-27,-20
2020-03-28,-23
2020-03-29,-28
2020-03-30,-21
2020-03-31,-20
2020-04-01,-23
2020-04-02,-25
2020-04-03,-21
2020-04-04,-24
2020-04-05,-23
2020-04-06,-15
2020-04-07,-51
2020-04-08,-59
2020-04-09,-57
2020-04-10,-63
2020-04-11,-61
