date,SG
2020-02-15,-17
2020-02-16,-22
2020-02-17,-14
2020-02-18,-15
2020-02-19,-15
2020-02-20,-12
2020-02-21,-12
2020-02-22,-16
2020-02-23,-19
2020-02-24,-14
2020-02-25,-13
2020-02-26,-14
2020-02-27,-9
2020-02-28,-11
2020-02-29,-13
2020-03-01,-16
2020-03-02,-12
2020-03-03,-13
2020-03-04,-12
2020-03-05,-9
2020-03-06,-10
2020-03-07,-15
2020-03-08,-16
2020-03-09,-14
2020-03-10,-13
2020-03-11,-13
2020-03-12,-9
2020-03-13,-12
2020-03-14,-15
2020-03-15,-18
2020-03-16,-16
2020-03-17,-16
2020-03-18,-19
2020-03-19,-19
2020-03-20,-21
2020-03-21,-23
2020-03-22,-31
2020-03-23,-24
2020-03-24,-23
2020-03-25,-25
2020-03-26,-25
2020-03-27,-27
2020-03-28,-33
2020-03-29,-40
2020-03-30,-29
2020-03-31,-29
2020-04-01,-31
2020-04-02,-33
2020-04-03,-32
2020-04-04,-36
2020-04-05,-40
2020-04-06,-32
2020-04-07,-54
2020-04-08,-63
2020-04-09,-63
2020-04-10,-75
2020-04-11,-66
