date,total
2020-02-29,-2.281906264895514
2020-03-01,-0.6487535977092714
2020-03-02,-7.046945096705548
2020-03-03,-3.5134112332518233
2020-03-04,-6.964844765481794
2020-03-05,-12.651500060538867
2020-03-06,-8.40723489835402
2020-03-07,-16.261499918759814
2020-03-08,-6.696811331192479
2020-03-09,-9.440733185523627
2020-03-10,-3.817665401904559
2020-03-11,-9.070476789808659
2020-03-12,-8.214057648415775
2020-03-13,-9.223408779343103
2020-03-14,-0.6036789060570142
2020-03-15,3.614829289469401
2020-03-16,1.179991035039444
2020-03-17,2.2633934451097653
2020-03-18,-3.3041358791520588
2020-03-19,-2.0138728306061995
2020-03-20,-6.0947422355516165
2020-03-21,-15.3221755409351
2020-03-22,-17.633863298529427
2020-03-23,-22.893918833306213
2020-03-24,-9.257214798082295
2020-03-25,-13.378329463431513
2020-03-26,-15.294808763860514
2020-03-27,-24.07873929959411
2020-03-28,-15.523401842954105
2020-03-29,-11.956866865969264
2020-03-30,-15.880779755339857
2020-03-31,-10.338202492528389
2020-04-01,-15.289174427403983
2020-04-02,-22.281385969960358
2020-04-03,-29.111811565693458
2020-04-04,-27.62515164637705
2020-04-05,-26.995715773661605
2020-04-06,-26.029829523970378
2020-04-07,-37.36691937972111
2020-04-08,-46.19270498627466
2020-04-09,-37.671173548373844
2020-04-10,-44.07580428903473
2020-04-11,-50.99959888890464
