date,SI,Administrative unit Maribor,Ajdovščina,Brežice,Celje,Cerknica,Črnomelj,Domžale,Dravograd,Gornja Radgona,Grosuplje,Idrija,Ilirska Bistrica,Izola,Jesenice,Kamnik,Kočevje,Koper,Kranj,Krško,Laško,Lenart,Lendava,Litija,Ljubljana,Ljutomer,Logatec,Metlika,Mozirje,Municipality of Hrastnik,Murska Sobota,Nova Gorica,Novo Mesto,Ormož,Pesnica,Piran,Postojna,Ptuj,Radlje ob Dravi,Radovljica,Ravne na Koroškem,Ribnica,Ruše,Šentjur,Sevnica,Sežana,Škofja Loka,Slovenj Gradec,Slovenska Bistrica,Slovenske Konjice,Šmarje pri Jelšah,Tolmin,Trbovlje,Trebnje,Tržič,Velenje,Vrhnika,Zagorje ob Savi,Žalec
2020-02-15,7,9,0,0,6,0,0,7,NA,0,6,NA,NA,0,3,8,0,6,8,0,NA,0,0,0,7,0,0,NA,0,NA,14,6,11,NA,0,0,0,8,NA,0,0,NA,NA,0,0,0,4,0,4,0,8,0,0,0,NA,6,0,0,13
2020-02-16,2,4,0,0,7,NA,NA,0,NA,NA,0,NA,NA,0,2,0,NA,0,0,0,NA,NA,0,NA,1,NA,NA,NA,NA,NA,2,0,6,NA,0,0,0,6,NA,0,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0
2020-02-17,-10,2,-18,-1,0,-19,1,-19,0,-1,-18,-23,-31,-23,-16,-19,-14,-18,-17,2,-3,0,3,-22,-17,-8,-16,NA,-1,-8,3,-18,-3,7,-2,-17,-20,1,0,-16,0,-15,0,-1,-5,-18,-18,1,-2,0,-2,-22,-20,-3,-15,0,-20,-22,0
2020-02-18,-9,2,-19,-2,-2,-20,0,-18,-6,-9,-19,-19,-23,-24,-16,-18,-16,-17,-17,1,1,-3,-1,-15,-16,-4,-19,NA,-1,-8,0,-19,1,0,0,-13,-20,-2,1,-18,4,-18,0,1,0,-21,-16,-1,1,3,0,-21,-15,-1,-13,-1,-21,-19,0
2020-02-19,-9,2,-21,-3,1,-20,-3,-18,-2,-3,-18,-20,-23,-22,-17,-18,-15,-18,-19,2,1,1,-2,-21,-16,-1,-21,NA,-1,-8,0,-15,2,3,-1,-20,-17,2,-1,-18,4,-15,-5,1,0,-20,-16,2,-1,5,-1,-19,-15,-4,-18,0,-23,-21,0
2020-02-20,-11,0,-22,-2,-2,-22,-3,-22,-4,-3,-21,-20,-27,-21,-20,-21,-14,-19,-21,2,3,0,-2,-20,-19,3,-24,NA,-3,-12,1,-19,2,-1,-2,-17,-22,0,0,-21,1,-20,-1,0,1,-26,-22,1,-5,5,1,-24,-15,4,-21,1,-25,-26,-1
2020-02-21,-11,1,-24,-4,-1,-21,3,-21,6,3,-24,-17,-28,-24,-19,-25,-20,-19,-23,0,9,-1,-4,-21,-19,3,-24,NA,2,-13,-1,-21,3,0,2,-14,-21,0,1,-22,-2,-21,0,1,-3,-22,-22,1,-1,-1,1,-24,-18,-1,-21,2,-24,-23,-1
2020-02-22,1,6,0,0,3,0,0,-2,NA,0,2,NA,NA,0,-2,-2,0,-2,2,0,NA,0,0,0,-2,0,0,NA,0,NA,13,-1,-7,NA,0,0,0,2,NA,-4,0,NA,NA,0,0,0,-9,0,10,0,9,0,0,0,NA,-4,0,0,7
2020-02-23,2,1,0,0,-2,NA,NA,0,NA,NA,0,NA,NA,0,-2,0,NA,-3,-1,0,NA,0,0,NA,-1,NA,NA,NA,NA,NA,0,-4,4,NA,0,0,0,10,NA,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,-7,0,NA,0
2020-02-24,-7,-17,3,-19,-17,0,-20,3,-22,-18,3,0,-4,-5,1,1,-3,1,3,-19,-19,-20,-15,0,1,-15,2,NA,-19,2,-14,0,-20,-15,-19,6,3,-19,-20,3,-18,7,-19,-23,-20,3,0,-19,-20,-15,-17,5,-2,-16,4,-19,1,1,-22
2020-02-25,-6,-16,6,-19,-18,5,-18,3,-22,-20,5,4,-2,-1,1,3,-3,2,2,-19,-15,-20,-14,5,3,-20,1,NA,-19,-4,-15,2,-17,-20,-20,9,3,-21,-16,2,-14,3,-19,-22,-18,-3,4,-18,-18,-9,-18,2,2,-14,6,-19,3,2,-22
2020-02-26,-7,-19,1,-21,-19,2,-19,3,-19,-19,3,1,2,-3,1,4,-2,0,3,-19,-20,-20,-18,2,2,-21,1,NA,-19,-10,-21,5,-19,-19,-23,1,2,-19,-21,1,-15,3,-28,-22,-23,-4,3,-17,-22,-13,-23,0,2,-18,-1,-21,1,1,-23
2020-02-27,-7,-19,5,-18,-20,5,-21,2,-21,-23,4,4,-2,-1,4,4,2,2,3,-18,-21,-21,-16,2,2,-23,5,NA,-18,-8,-18,2,-19,-15,-24,1,1,-18,-23,1,-17,0,-24,-23,-18,-3,1,-22,-22,-15,-20,0,-2,-16,4,-23,3,-8,-26
