date,SK,Banská Bystrica Region,Bratislava Region,Košice Region,Nitra Region,Prešov Region,Trenčín Region,Trnava Region,Žilina Region
2020-02-15,-2,-1,-4,-2,-2,-1,-1,-2,-2
2020-02-16,-2,-1,-3,-1,-2,-1,-1,-3,-1
2020-02-17,0,0,0,0,1,0,0,1,-1
2020-02-18,0,-1,0,-1,1,-1,-1,1,0
2020-02-19,1,0,1,0,1,0,0,1,0
2020-02-20,0,0,1,0,2,0,0,2,-1
2020-02-21,2,1,2,1,5,1,2,4,1
2020-02-22,-2,-1,-4,-1,-2,-1,-2,-2,-2
2020-02-23,-1,0,-1,0,0,0,0,-1,0
2020-02-24,0,2,-1,0,-1,0,1,0,2
2020-02-25,-1,1,-2,-1,-2,-1,0,-1,2
2020-02-26,1,3,0,1,1,1,3,1,3
2020-02-27,1,2,0,0,0,0,2,1,2
2020-02-28,3,6,2,3,2,2,5,2,7
2020-02-29,-1,-2,-2,-2,0,-2,-1,0,-2
2020-03-01,1,1,1,0,1,1,1,1,1
2020-03-02,1,1,0,3,0,4,0,0,0
2020-03-03,1,1,0,2,0,2,0,0,0
2020-03-04,1,1,0,4,0,4,1,0,1
2020-03-05,0,0,0,2,0,2,0,0,-1
2020-03-06,3,2,2,5,2,6,2,2,2
2020-03-07,1,2,1,0,1,0,2,1,1
2020-03-08,0,0,0,0,0,0,1,-1,1
2020-03-09,1,1,4,1,0,0,0,0,0
2020-03-10,2,1,7,3,0,0,1,3,1
2020-03-11,6,3,11,6,3,4,6,6,5
2020-03-12,6,4,11,6,3,4,5,6,5
2020-03-13,13,12,18,13,11,13,11,13,13
2020-03-14,10,9,12,9,9,10,10,10,10
2020-03-15,9,8,12,9,8,9,9,9,9
2020-03-16,19,17,24,18,17,18,16,17,18
2020-03-17,20,17,27,18,18,17,17,19,19
2020-03-18,21,18,28,20,19,19,18,20,20
2020-03-19,21,18,28,19,20,18,18,21,19
2020-03-20,23,21,28,22,22,23,21,23,24
2020-03-21,16,15,18,14,15,14,16,16,15
2020-03-22,13,11,15,12,12,12,12,12,13
2020-03-23,22,20,27,21,21,21,20,22,23
2020-03-24,21,18,27,20,20,19,19,21,22
2020-03-25,23,20,30,21,21,20,21,23,23
2020-03-26,22,19,29,20,22,19,20,23,21
2020-03-27,23,20,28,21,22,21,21,23,23
2020-03-28,10,10,11,8,10,10,10,11,10
2020-03-29,10,9,12,9,9,10,9,10,10
2020-03-30,20,17,26,19,19,18,19,20,20
2020-03-31,19,16,25,18,18,16,18,19,19
2020-04-01,20,17,27,18,18,17,19,20,20
2020-04-02,20,17,27,18,19,17,18,21,19
2020-04-03,22,19,27,20,20,20,21,22,23
2020-04-04,10,8,11,8,9,9,9,11,10
2020-04-05,8,7,11,7,8,8,7,8,7
2020-04-06,16,14,22,15,15,14,15,17,15
2020-04-07,13,11,19,12,13,11,12,14,13
2020-04-08,20,16,27,19,18,17,17,20,18
2020-04-09,21,17,28,19,19,18,18,22,18
2020-04-10,37,34,40,36,36,36,36,37,37
2020-04-11,12,10,14,12,12,12,11,13,11
