date,SK,Banská Bystrica Region,Bratislava Region,Košice Region,Nitra Region,Prešov Region,Trenčín Region,Trnava Region,Žilina Region
2020-02-15,3,3,2,3,4,5,3,1,3
2020-02-16,2,2,1,1,3,5,0,0,3
2020-02-17,-6,2,-16,2,-17,3,2,-17,1
2020-02-18,-6,1,-16,3,-16,3,2,-16,2
2020-02-19,-7,1,-18,1,-18,2,1,-18,1
2020-02-20,-8,0,-18,1,-18,3,0,-19,1
2020-02-21,-10,-2,-21,-1,-21,0,0,-21,-1
2020-02-22,3,3,0,5,0,7,2,-1,5
2020-02-23,0,-1,0,3,1,3,-2,0,-1
2020-02-24,-4,-19,3,2,3,3,-16,2,-18
2020-02-25,-3,-19,3,2,3,4,-16,3,-18
2020-02-26,-5,-20,1,0,2,2,-18,2,-19
2020-02-27,-5,-22,1,0,2,3,-19,2,-20
2020-02-28,-7,-23,1,-2,1,-1,-20,1,-23
2020-02-29,4,3,6,6,6,6,1,6,2
2020-03-01,1,1,1,2,1,0,-2,2,-1
2020-03-02,-3,0,3,-22,3,-21,2,4,2
2020-03-03,-2,1,2,-21,3,-21,2,3,3
2020-03-04,-4,1,1,-24,2,-24,2,3,3
2020-03-05,-3,2,1,-23,3,-23,1,2,3
2020-03-06,-5,0,1,-26,0,-26,1,1,1
2020-03-07,2,2,2,-1,5,1,1,3,1
2020-03-08,3,2,3,3,3,4,3,4,3
2020-03-09,-2,1,-8,-6,1,2,1,0,2
2020-03-10,-7,-1,-19,-11,0,-1,-5,-10,0
2020-03-11,-11,-3,-24,-15,-2,-5,-11,-15,-3
2020-03-12,-16,-12,-28,-18,-6,-7,-12,-18,-14
2020-03-13,-26,-23,-36,-28,-19,-24,-20,-24,-24
2020-03-14,-22,-21,-27,-22,-20,-24,-20,-21,-23
2020-03-15,-29,-27,-32,-28,-25,-34,-27,-28,-33
2020-03-16,-44,-41,-54,-46,-40,-45,-36,-40,-42
2020-03-17,-50,-46,-62,-50,-45,-49,-41,-47,-47
2020-03-18,-51,-46,-63,-51,-46,-51,-42,-48,-48
2020-03-19,-51,-47,-63,-51,-47,-50,-43,-49,-49
2020-03-20,-51,-47,-61,-51,-46,-50,-43,-48,-48
2020-03-21,-41,-38,-44,-39,-41,-42,-39,-42,-43
2020-03-22,-40,-35,-40,-37,-38,-43,-40,-40,-43
2020-03-23,-50,-46,-60,-51,-47,-49,-42,-48,-49
2020-03-24,-51,-46,-61,-50,-47,-49,-42,-49,-50
2020-03-25,-51,-46,-62,-50,-48,-49,-43,-49,-50
2020-03-26,-51,-46,-62,-50,-48,-49,-45,-50,-50
2020-03-27,-50,-45,-59,-49,-47,-48,-45,-48,-50
2020-03-28,-34,-30,-36,-29,-33,-34,-34,-35,-38
2020-03-29,-38,-36,-40,-34,-36,-41,-40,-38,-41
2020-03-30,-48,-43,-57,-48,-45,-46,-44,-46,-47
2020-03-31,-48,-42,-58,-47,-45,-45,-43,-46,-47
2020-04-01,-48,-43,-58,-47,-44,-45,-43,-45,-47
2020-04-02,-48,-43,-59,-47,-44,-45,-43,-46,-47
2020-04-03,-47,-44,-57,-47,-44,-45,-43,-45,-47
2020-04-04,-32,-29,-34,-30,-29,-31,-33,-33,-36
2020-04-05,-36,-31,-36,-34,-34,-38,-39,-38,-39
2020-04-06,-46,-41,-56,-46,-43,-44,-39,-44,-43
2020-04-07,-46,-41,-56,-46,-43,-43,-39,-44,-44
2020-04-08,-51,-45,-62,-52,-47,-49,-43,-49,-49
2020-04-09,-56,-51,-66,-57,-52,-55,-50,-56,-55
2020-04-10,-86,-83,-88,-85,-84,-86,-85,-84,-86
2020-04-11,-39,-34,-40,-38,-36,-42,-39,-40,-41
