date,SN
2020-02-15,0
2020-02-16,0
2020-02-17,-3
2020-02-18,-3
2020-02-19,-5
2020-02-20,-4
2020-02-21,-3
2020-02-22,-4
2020-02-23,-2
2020-02-24,-4
2020-02-25,-10
2020-02-26,-9
2020-02-27,-5
2020-02-28,-3
2020-02-29,-2
2020-03-01,-1
2020-03-02,-2
2020-03-03,-1
2020-03-04,-1
2020-03-05,-4
2020-03-06,-3
2020-03-07,-1
2020-03-08,2
2020-03-09,-2
2020-03-10,-1
2020-03-11,-3
2020-03-12,-2
2020-03-13,-5
2020-03-14,-7
2020-03-15,-10
2020-03-16,-11
2020-03-17,-13
2020-03-18,-18
2020-03-19,-20
2020-03-20,-23
2020-03-21,-30
2020-03-22,-33
2020-03-23,-30
2020-03-24,-40
2020-03-25,-42
2020-03-26,-42
2020-03-27,-44
2020-03-28,-46
2020-03-29,-44
2020-03-30,-40
2020-03-31,-41
2020-04-01,-43
2020-04-02,-42
2020-04-03,-42
2020-04-04,-49
2020-04-05,-43
2020-04-06,-37
2020-04-07,-38
2020-04-08,-41
2020-04-09,-41
2020-04-10,-42
2020-04-11,-43
