date,total
2020-02-29,-0.6514233037148475
2020-03-01,0.8285786655787634
2020-03-02,1.8144522264447702
2020-03-03,-1.2956968394620931
2020-03-04,-0.8079237803390242
2020-03-05,-1.3822884737363839
2020-03-06,-2.149696902258997
2020-03-07,-0.4067423554902463
2020-03-08,-0.5179609683196105
2020-03-09,0.08261954095895627
2020-03-10,-3.0775779007211215
2020-03-11,-3.959382616725366
2020-03-12,-2.846402069768657
2020-03-13,-2.5484950711185745
2020-03-14,-6.511849781159274
2020-03-15,-6.730314913502668
2020-03-16,-7.0107447015652795
2020-03-17,-11.258501292983926
2020-03-18,-16.483392839974844
2020-03-19,-19.51886655155342
2020-03-20,-21.421499249598615
2020-03-21,-30.27926734279441
2020-03-22,-37.484644616811075
2020-03-23,-35.38261283433609
2020-03-24,-44.467584665169014
2020-03-25,-46.94458205661157
2020-03-26,-47.73979513834152
2020-03-27,-50.24856927630675
2020-03-28,-51.60464193416193
2020-03-29,-49.91014692584026
2020-03-30,-45.11503587556852
2020-03-31,-48.27443889858554
2020-04-01,-48.15607051778857
2020-04-02,-46.84527972372821
2020-04-03,-47.22262858868498
2020-04-04,-52.74383829699985
2020-04-05,-49.28891153132195
2020-04-06,-43.38320319008271
2020-04-07,-46.33049643006086
2020-04-08,-47.994803529185994
2020-04-09,-48.065506790198945
2020-04-10,-48.814643589471025
2020-04-11,-48.9997431379656
