date,total
2020-02-29,4.603621492624695
2020-03-01,4.141164590845455
2020-03-02,4.975842901373839
2020-03-03,3.258145837622377
2020-03-04,1.6556601622932705
2020-03-05,0.5180484108781377
2020-03-06,3.1638819743677242
2020-03-07,3.5288523167126638
2020-03-08,5.23365859574554
2020-03-09,3.843065194228175
2020-03-10,3.6988495401890047
2020-03-11,3.026917386732758
2020-03-12,2.7497655152831784
2020-03-13,3.0333627790920503
2020-03-14,2.6192463200075045
2020-03-15,2.1390645892402107
2020-03-16,-12.165678078164664
2020-03-17,-14.336969629201338
2020-03-18,-15.010513130747407
2020-03-19,-16.192436954632676
2020-03-20,-16.41560866507318
2020-03-21,-12.736900976006964
2020-03-22,-7.281682017910744
2020-03-23,-26.59852291871048
2020-03-24,-32.407432782522875
2020-03-25,-33.93740779380994
2020-03-26,-35.45610336846825
2020-03-27,-34.767252060068856
2020-03-28,-24.646374707889752
2020-03-29,-10.557552684521175
2020-03-30,-34.07114968526526
2020-03-31,-35.52458566228573
2020-04-01,-35.27321536027332
2020-04-02,-35.02748477657529
2020-04-03,-34.004278739537604
2020-04-04,-30.987835115388698
2020-04-05,-9.374823186590994
2020-04-06,-33.25661322585967
2020-04-07,-34.39744767345445
2020-04-08,-34.61417399153566
2020-04-09,-34.63512151670336
2020-04-10,-33.38954944327008
2020-04-11,-21.999735470355255
