date,TH
2020-02-15,-3
2020-02-16,-3
2020-02-17,-3
2020-02-18,-3
2020-02-19,-4
2020-02-20,-4
2020-02-21,-4
2020-02-22,-4
2020-02-23,-5
2020-02-24,-4
2020-02-25,-2
2020-02-26,-3
2020-02-27,-4
2020-02-28,-1
2020-02-29,-1
2020-03-01,-1
2020-03-02,1
2020-03-03,0
2020-03-04,-1
2020-03-05,-3
2020-03-06,-5
2020-03-07,-6
2020-03-08,-7
2020-03-09,-4
2020-03-10,-3
2020-03-11,-4
2020-03-12,-6
2020-03-13,-8
2020-03-14,-11
2020-03-15,-15
2020-03-16,-8
2020-03-17,-9
2020-03-18,-12
2020-03-19,-16
2020-03-20,-20
2020-03-21,-24
2020-03-22,-36
2020-03-23,-32
2020-03-24,-34
2020-03-25,-35
2020-03-26,-43
2020-03-27,-46
2020-03-28,-51
2020-03-29,-55
2020-03-30,-44
2020-03-31,-42
2020-04-01,-43
2020-04-02,-45
2020-04-03,-48
2020-04-04,-51
2020-04-05,-54
2020-04-06,-47
2020-04-07,-45
2020-04-08,-46
2020-04-09,-47
2020-04-10,-48
2020-04-11,-51
