date,TR
2020-02-15,-11
2020-02-16,14
2020-02-17,10
2020-02-18,11
2020-02-19,6
2020-02-20,2
2020-02-21,-8
2020-02-22,-10
2020-02-23,21
2020-02-24,7
2020-02-25,12
2020-02-26,15
2020-02-27,7
2020-02-28,6
2020-02-29,-16
2020-03-01,35
2020-03-02,18
2020-03-03,23
2020-03-04,16
2020-03-05,10
2020-03-06,17
2020-03-07,34
2020-03-08,68
2020-03-09,24
2020-03-10,4
2020-03-11,15
2020-03-12,25
2020-03-13,11
2020-03-14,10
2020-03-15,3
2020-03-16,-13
2020-03-17,-19
2020-03-18,-29
2020-03-19,-28
2020-03-20,-27
2020-03-21,-32
2020-03-22,-33
2020-03-23,-32
2020-03-24,-39
2020-03-25,-38
2020-03-26,-32
2020-03-27,-40
2020-03-28,-57
2020-03-29,-58
2020-03-30,-39
2020-03-31,-45
2020-04-01,-47
2020-04-02,-46
2020-04-03,-47
2020-04-04,-60
2020-04-05,-61
2020-04-06,-49
2020-04-07,-49
2020-04-08,-49
2020-04-09,-43
2020-04-10,-41
2020-04-11,-81
