date,TR
2020-02-15,2
2020-02-16,7
2020-02-17,6
2020-02-18,4
2020-02-19,0
2020-02-20,-1
2020-02-21,-4
2020-02-22,0
2020-02-23,7
2020-02-24,3
2020-02-25,3
2020-02-26,1
2020-02-27,-2
2020-02-28,-3
2020-02-29,-6
2020-03-01,9
2020-03-02,6
2020-03-03,7
2020-03-04,2
2020-03-05,3
2020-03-06,6
2020-03-07,13
2020-03-08,18
2020-03-09,8
2020-03-10,2
2020-03-11,3
2020-03-12,6
2020-03-13,-2
2020-03-14,-7
2020-03-15,-15
2020-03-16,-12
2020-03-17,-26
2020-03-18,-37
2020-03-19,-41
2020-03-20,-45
2020-03-21,-52
2020-03-22,-64
2020-03-23,-51
2020-03-24,-57
2020-03-25,-58
2020-03-26,-57
2020-03-27,-59
2020-03-28,-66
2020-03-29,-75
2020-03-30,-57
2020-03-31,-61
2020-04-01,-61
2020-04-02,-62
2020-04-03,-62
2020-04-04,-70
2020-04-05,-76
2020-04-06,-61
2020-04-07,-64
2020-04-08,-65
2020-04-09,-64
2020-04-10,-61
2020-04-11,-92
