date,total
2020-02-29,-16.252164575787617
2020-03-01,35.0667948597368
2020-03-02,17.850803757043053
2020-03-03,22.917297186269725
2020-03-04,15.682194071504258
2020-03-05,9.90884115452168
2020-03-06,17.055086508085665
2020-03-07,34.1429943513899
2020-03-08,68.27157933609848
2020-03-09,23.75864409638463
2020-03-10,4.2723772210116495
2020-03-11,15.294742211850963
2020-03-12,25.442138436985623
2020-03-13,11.208085716954114
2020-03-14,9.548606987488657
2020-03-15,3.2180918921616697
2020-03-16,-12.67463903696411
2020-03-17,-18.648122046742813
2020-03-18,-29.21419042600696
2020-03-19,-28.103068150802883
2020-03-20,-27.22809938509823
2020-03-21,-31.93355812692069
2020-03-22,-32.5579640164446
2020-03-23,-31.94636645285964
2020-03-24,-39.01816341190347
2020-03-25,-37.62926056789837
2020-03-26,-31.57892760248596
2020-03-27,-39.58573235507328
2020-03-28,-56.58238087606248
2020-03-29,-58.42758033164274
2020-03-30,-39.21909402507078
2020-03-31,-45.51518674443683
2020-04-01,-46.59268716405117
2020-04-02,-46.299696708197644
2020-04-03,-46.729576147523716
2020-04-04,-59.9317581090984
2020-04-05,-61.15015011404121
2020-04-06,-48.54195426788541
2020-04-07,-48.84775304967789
2020-04-08,-48.55876519568028
2020-04-09,-43.03997775673437
2020-04-10,-40.70325879324683
2020-04-11,-80.99985323793194
