date,total
2020-02-29,-9.692601682541829
2020-03-01,3.404129724005067
2020-03-02,6.581848946460384
2020-03-03,5.908995202418164
2020-03-04,3.7764314994407506
2020-03-05,3.7844037001995443
2020-03-06,4.218091421477943
2020-03-07,8.639473962305132
2020-03-08,12.175942218906181
2020-03-09,7.495463153418183
2020-03-10,0.5333402307633233
2020-03-11,2.7384509606457628
2020-03-12,5.906603542190526
2020-03-13,1.8782504987718827
2020-03-14,-3.6177847043407487
2020-03-15,-15.480419433426324
2020-03-16,-13.931420825992637
2020-03-17,-22.15394868861284
2020-03-18,-32.582384501191356
2020-03-19,-37.71967067015826
2020-03-20,-41.2680972278975
2020-03-21,-46.18216177561816
2020-03-22,-54.411067398845404
2020-03-23,-48.33066988011316
2020-03-24,-53.699947091160965
2020-03-25,-54.83598569928913
2020-03-26,-54.551378132200185
2020-03-27,-57.22047094624443
2020-03-28,-62.45422074439274
2020-03-29,-71.05861702335918
2020-03-30,-57.83911372512685
2020-03-31,-60.99769966576107
2020-04-01,-61.789339201109314
2020-04-02,-63.88682522074803
2020-04-03,-63.55597888925807
2020-04-04,-69.4011964856059
2020-04-05,-75.34686381151451
2020-04-06,-64.56685394547316
2020-04-07,-64.32370182232995
2020-04-08,-64.38668220832442
2020-04-09,-63.008288697128926
2020-04-10,-60.9729858434088
2020-04-11,-89.999768806178
