date,total
2020-02-29,7.374731561270069
2020-03-01,6.805656525023819
2020-03-02,9.679084700999605
2020-03-03,9.810533019231132
2020-03-04,10.694603110751716
2020-03-05,12.106069503469527
2020-03-06,9.502751591176821
2020-03-07,10.102284164574279
2020-03-08,8.298075845432999
2020-03-09,9.941179823327102
2020-03-10,9.574086349241494
2020-03-11,10.656931946380483
2020-03-12,11.831150154973098
2020-03-13,6.453791819513813
2020-03-14,3.746277069598555
2020-03-15,0.5610598948906693
2020-03-16,-11.756609340366197
2020-03-17,-19.48801469195962
2020-03-18,-22.745368138867736
2020-03-19,-25.17555899787989
2020-03-20,-29.67926692558085
2020-03-21,-25.799136995344092
2020-03-22,-35.12715850496925
2020-03-23,-37.56857056187922
2020-03-24,-42.575629366710665
2020-03-25,-43.28096180600179
2020-03-26,-42.92188347327176
2020-03-27,-44.8455173986112
2020-03-28,-40.16707938935857
2020-03-29,-45.02505656497621
2020-03-30,-47.04487218658262
2020-03-31,-48.88033955701067
2020-04-01,-49.459032762883616
2020-04-02,-49.762005106124576
2020-04-03,-50.56912984063158
2020-04-04,-46.4445380990496
2020-04-05,-47.78466973370275
2020-04-06,-50.80477499648567
2020-04-07,-51.99662651606056
2020-04-08,-51.327362212869545
2020-04-09,-50.47535268677129
2020-04-10,-50.922597574412706
2020-04-11,-78.00014961597196
