date,TZ
2020-02-15,1
2020-02-16,0
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,0
2020-02-23,0
2020-02-24,1
2020-02-25,2
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,-1
2020-03-01,0
2020-03-02,2
2020-03-03,1
2020-03-04,3
2020-03-05,1
2020-03-06,1
2020-03-07,0
2020-03-08,0
2020-03-09,2
2020-03-10,2
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,0
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,1
2020-03-19,2
2020-03-20,4
2020-03-21,4
2020-03-22,4
2020-03-23,5
2020-03-24,5
2020-03-25,4
2020-03-26,4
2020-03-27,5
2020-03-28,3
2020-03-29,3
2020-03-30,5
2020-03-31,5
2020-04-01,5
2020-04-02,6
2020-04-03,6
2020-04-04,4
2020-04-05,5
2020-04-06,6
2020-04-07,12
2020-04-08,5
2020-04-09,5
2020-04-10,13
2020-04-11,7
