date,TZ
2020-02-15,-3
2020-02-16,-1
2020-02-17,-2
2020-02-18,-1
2020-02-19,-2
2020-02-20,1
2020-02-21,-2
2020-02-22,-3
2020-02-23,-12
2020-02-24,-2
2020-02-25,0
2020-02-26,2
2020-02-27,6
2020-02-28,4
2020-02-29,8
2020-03-01,5
2020-03-02,4
2020-03-03,4
2020-03-04,1
2020-03-05,7
2020-03-06,3
2020-03-07,3
2020-03-08,3
2020-03-09,2
2020-03-10,2
2020-03-11,4
2020-03-12,4
2020-03-13,0
2020-03-14,-1
2020-03-15,-1
2020-03-16,1
2020-03-17,1
2020-03-18,3
2020-03-19,5
2020-03-20,-3
2020-03-21,-5
2020-03-22,-11
2020-03-23,-6
2020-03-24,-6
2020-03-25,-4
2020-03-26,-1
2020-03-27,-8
2020-03-28,-9
2020-03-29,-11
2020-03-30,-8
2020-03-31,-7
2020-04-01,-8
2020-04-02,-6
2020-04-03,-11
2020-04-04,-11
2020-04-05,-15
2020-04-06,-10
2020-04-07,-15
2020-04-08,-9
2020-04-09,-7
2020-04-10,-20
2020-04-11,-16
