date,US,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-02-15,2,2,1,-1,1,-1,1,-2,2,-2,-1,1,-1,-1,3,0,3,2,1,2,-3,0,-2,4,1,1,4,0,-1,-2,2,1,0,1,-1,1,0,1,-1,0,-1,0,-1,3,1,0,0,0,-3,0,3,1
2020-02-16,0,-1,1,0,1,-1,1,0,2,0,-2,-3,-1,-1,2,1,2,1,0,-1,3,0,0,3,1,-1,3,0,4,0,4,0,1,0,-1,1,1,1,0,1,1,-1,1,1,1,-3,4,0,-1,1,2,1
2020-02-17,-24,-17,-33,-25,-16,-38,-20,-29,-23,-52,-19,-19,-47,-25,-23,-13,-8,-15,-12,-3,-33,-33,-42,-13,-22,-15,-20,-24,-14,-28,-21,-36,-26,-37,-11,-21,-19,-19,-25,-21,-31,-15,-23,-15,-18,-39,-18,-27,-35,-15,-5,-26
2020-02-18,0,1,-2,2,0,0,-4,-8,3,-5,1,-5,-1,1,1,2,1,0,2,1,-13,2,-10,-6,-1,1,2,2,2,1,-1,-1,3,-10,1,-1,2,0,1,1,-9,1,-1,1,1,2,-4,3,-4,1,0,3
2020-02-19,1,1,-3,1,3,0,0,0,2,-5,2,-2,0,2,1,2,3,4,2,1,-12,2,-10,0,1,0,5,2,1,1,0,1,3,-9,2,1,2,3,1,2,-5,0,1,3,3,2,-3,2,-2,1,2,2
2020-02-20,0,0,2,-1,1,0,0,2,2,-5,1,-4,0,2,2,1,1,-1,1,-1,-9,2,-8,0,1,-1,3,2,1,1,3,0,1,-9,-6,1,2,1,1,1,-4,-1,1,0,1,2,-1,1,-2,2,2,1
2020-02-21,0,1,5,0,2,1,3,1,2,-5,0,-3,2,3,2,2,3,7,2,-1,-11,3,-9,0,2,0,18,2,2,1,1,2,5,-9,-19,4,3,3,4,3,-3,-2,5,0,3,6,-3,-4,-1,2,2,4
2020-02-22,4,6,4,-4,3,1,4,3,5,2,1,4,1,2,7,4,5,4,5,0,-1,4,1,8,3,2,6,1,0,-2,3,4,0,4,3,4,3,3,3,4,2,3,2,5,4,3,2,2,0,3,5,4
2020-02-23,2,2,2,1,1,2,-1,2,2,3,0,1,1,2,4,3,5,2,2,1,6,3,3,6,3,1,5,3,5,0,4,2,1,3,2,3,3,0,1,3,4,3,5,1,1,2,3,2,1,3,5,3
2020-02-24,3,-2,3,3,1,4,8,4,4,5,2,1,2,9,2,2,4,5,2,-15,3,4,4,2,3,-2,3,3,3,3,-9,3,3,4,3,4,3,2,4,3,4,3,4,2,3,3,-8,5,4,2,3,3
2020-02-25,2,-1,3,3,2,3,2,2,2,2,2,2,0,2,1,2,1,1,3,-37,3,3,3,2,2,-4,2,2,1,-2,-10,2,3,3,3,2,2,2,2,2,2,2,-6,3,3,3,-8,3,2,2,2,0
2020-02-26,2,0,3,2,3,2,2,2,2,1,1,1,1,3,-1,-1,4,4,2,-8,2,2,2,-11,2,-1,4,2,2,2,-10,2,3,3,3,2,1,4,2,2,2,2,2,3,4,2,-9,2,2,2,2,2
2020-02-27,2,2,2,2,3,2,2,3,2,0,2,2,0,3,2,-1,2,2,-1,-3,-5,2,3,-8,2,2,4,1,2,1,-11,1,1,0,2,2,-3,3,1,1,2,2,0,2,2,2,-8,2,2,-3,2,2
2020-02-28,2,1,6,3,3,3,3,3,3,1,1,2,2,1,0,1,5,8,2,-2,2,3,3,0,2,1,18,1,4,2,-10,3,5,3,3,5,1,3,3,3,4,1,2,1,1,5,-9,2,3,-1,2,3
2020-02-29,4,5,5,2,4,2,4,2,6,1,2,4,1,3,6,2,4,5,3,3,1,4,2,6,5,3,6,1,2,0,1,4,3,4,2,5,2,4,3,2,2,3,1,5,3,4,0,2,2,2,5,2
2020-03-01,3,4,5,3,3,1,3,3,3,2,1,2,1,4,4,4,5,4,3,3,6,3,3,5,4,4,5,5,6,-1,3,2,4,3,2,4,4,3,3,3,5,3,5,3,2,-1,2,2,2,4,5,1
2020-03-02,3,2,1,3,3,4,7,4,4,5,1,2,2,9,-1,2,4,6,2,5,3,4,3,2,3,3,4,4,3,3,3,3,4,4,3,4,2,3,3,2,3,4,5,2,4,3,-6,5,2,2,4,4
2020-03-03,2,2,3,3,3,3,4,3,3,3,2,1,1,3,2,2,2,3,3,3,2,4,1,1,1,2,3,1,2,2,2,3,3,4,2,2,2,2,1,2,2,2,2,-8,3,0,-10,-4,-1,3,0,4
2020-03-04,3,0,3,2,4,2,2,2,1,1,1,0,1,4,2,2,4,5,2,1,1,3,2,1,2,-1,6,2,2,1,2,2,3,3,2,2,2,4,1,1,1,1,2,0,2,2,1,2,-2,2,2,3
2020-03-05,3,2,2,2,3,2,2,3,2,1,1,-1,1,2,3,2,3,2,2,2,4,3,4,1,1,2,4,2,1,1,4,2,2,4,1,2,2,3,1,1,2,-1,2,1,3,2,5,2,-6,3,2,2
2020-03-06,2,2,0,1,3,2,2,2,1,0,1,1,2,2,2,1,6,7,1,3,2,2,3,0,-1,0,18,2,1,2,3,2,5,3,2,3,2,3,1,1,3,2,5,0,3,5,2,1,-8,0,3,3
2020-03-07,5,7,3,1,4,2,3,3,6,0,2,5,1,2,7,5,6,6,4,3,1,4,1,8,3,3,7,1,0,0,4,6,3,6,2,5,4,4,3,3,2,3,2,6,3,3,2,1,-1,3,6,4
2020-03-08,2,3,2,1,3,1,2,2,2,1,0,1,1,3,3,3,5,2,1,2,7,2,2,5,2,2,5,2,3,0,3,2,2,2,0,3,2,2,1,1,4,2,2,2,0,1,4,0,-2,3,4,2
2020-03-09,0,2,-10,-7,1,1,8,2,2,1,0,2,1,9,0,1,3,0,1,3,2,3,1,2,-2,-9,1,3,-4,-7,2,1,2,1,0,4,1,2,2,0,2,2,2,0,-9,1,-1,3,-8,0,2,4
2020-03-10,-2,1,-7,-8,3,-3,2,1,1,-1,0,-1,0,2,0,0,1,-2,0,1,2,2,0,-1,-2,-9,0,1,-4,-1,-1,-2,1,-1,1,2,0,2,0,0,0,1,0,-1,-10,1,-1,1,-11,0,1,3
2020-03-11,-1,1,-8,-10,4,-3,1,-1,1,-5,0,-1,0,3,-1,0,4,-1,0,1,1,1,-3,1,-3,-9,4,1,-4,0,0,-3,1,-1,0,2,0,4,0,-1,-3,1,0,0,-9,1,-1,-1,-11,0,1,2
2020-03-12,-3,1,-9,-12,2,-6,-2,-2,-2,-9,-1,-1,-1,1,-1,-1,0,-4,-2,0,3,-1,-5,-1,-4,-10,1,0,-7,-1,1,-5,-4,-3,-2,-1,-1,1,-3,-2,-1,0,-3,-2,-11,-1,1,-3,-14,0,1,0
2020-03-13,-7,-2,-10,-12,-2,-8,-8,-12,-5,-15,-5,-8,-1,0,-4,-4,0,-6,-4,-1,-3,-4,-14,-7,-6,-12,10,-3,-11,-4,-3,-9,-6,-8,-3,-2,-4,-7,-6,-7,-3,-2,-1,-6,-15,-4,-4,-8,-17,-3,0,-3
2020-03-14,-1,4,-1,-2,0,-6,-4,-3,0,-9,-1,0,-4,-1,0,-1,1,-1,-2,-1,-1,-2,-4,2,-1,0,1,-6,-6,-5,0,-2,-2,-2,0,2,-3,-3,-6,-2,-4,1,-6,1,-3,-3,-3,-3,-8,-2,2,-2
2020-03-15,-7,-4,-1,-4,-4,-8,-10,-8,-8,-17,-6,-9,-5,-8,-5,-5,-2,-6,-8,-4,2,-11,-8,-4,-4,-4,-2,-6,-2,-7,-3,-8,-5,-7,-9,-1,-7,-4,-9,-7,-5,-3,-6,-7,-7,-19,-8,-11,-11,-5,-1,-3
2020-03-16,-20,-10,-12,-19,-16,-24,-21,-23,-19,-40,-18,-20,-17,-4,-19,-14,-15,-18,-14,-11,-14,-24,-30,-21,-16,-14,-14,-16,-14,-20,-16,-25,-20,-25,-15,-13,-18,-19,-22,-22,-22,-10,-15,-15,-22,-22,-13,-20,-26,-13,-13,-16
2020-03-17,-27,-17,-15,-24,-19,-33,-34,-31,-27,-52,-22,-25,-23,-19,-31,-21,-23,-24,-19,-20,-23,-32,-39,-28,-24,-18,-19,-22,-20,-26,-25,-35,-25,-32,-20,-15,-25,-22,-29,-31,-31,-15,-19,-19,-26,-28,-23,-28,-35,-16,-21,-19
2020-03-18,-31,-22,-21,-31,-22,-38,-38,-34,-30,-56,-26,-29,-25,-23,-35,-25,-26,-26,-23,-24,-28,-37,-42,-31,-32,-21,-24,-26,-24,-36,-29,-39,-28,-36,-25,-19,-28,-25,-33,-35,-33,-21,-21,-22,-29,-42,-31,-33,-38,-21,-28,-23
2020-03-19,-33,-25,-25,-33,-24,-40,-47,-36,-33,-58,-29,-31,-28,-27,-37,-27,-29,-30,-26,-26,-31,-39,-44,-34,-35,-22,-29,-28,-28,-43,-32,-43,-33,-40,-27,-24,-31,-29,-35,-37,-36,-23,-25,-24,-32,-36,-33,-35,-40,-23,-31,-29
2020-03-20,-36,-29,-25,-33,-26,-44,-46,-37,-34,-56,-31,-32,-31,-28,-38,-30,-29,-27,-29,-29,-34,-39,-44,-37,-36,-26,-22,-29,-29,-45,-34,-44,-31,-43,-28,-25,-34,-30,-35,-41,-35,-26,-23,-27,-34,-35,-37,-36,-41,-26,-32,-29
2020-03-21,-24,-16,-20,-22,-14,-33,-29,-26,-21,-38,-26,-18,-27,-18,-25,-22,-17,-15,-22,-24,-24,-25,-30,-26,-25,-18,-17,-26,-14,-46,-24,-30,-23,-30,-19,-19,-25,-18,-25,-31,-25,-17,-13,-16,-22,-20,-30,-23,-28,-22,-20,-21
2020-03-22,-31,-27,-21,-28,-26,-36,-33,-29,-29,-42,-33,-29,-30,-27,-38,-29,-25,-24,-29,-28,-24,-33,-33,-31,-30,-27,-26,-29,-22,-49,-28,-38,-26,-36,-29,-23,-28,-26,-30,-33,-28,-28,-18,-28,-29,-34,-31,-31,-32,-27,-27,-26
2020-03-23,-41,-33,-35,-37,-32,-49,-41,-45,-39,-63,-36,-38,-35,-30,-50,-35,-32,-31,-34,-34,-36,-46,-50,-43,-39,-29,-35,-31,-31,-48,-39,-55,-36,-57,-33,-27,-39,-31,-41,-50,-40,-30,-23,-34,-36,-39,-43,-40,-44,-33,-36,-30
2020-03-24,-45,-34,-39,-39,-35,-50,-47,-47,-44,-64,-39,-41,-42,-36,-50,-39,-36,-38,-38,-42,-42,-49,-55,-57,-42,-32,-42,-34,-33,-50,-45,-55,-43,-56,-34,-30,-47,-34,-47,-51,-44,-33,-27,-38,-40,-41,-47,-42,-49,-37,-41,-33
2020-03-25,-46,-36,-41,-41,-35,-51,-49,-49,-46,-67,-40,-42,-46,-38,-50,-45,-35,-39,-40,-43,-41,-52,-57,-58,-43,-34,-41,-36,-34,-51,-43,-57,-44,-57,-36,-31,-48,-34,-48,-52,-46,-34,-30,-38,-44,-43,-47,-46,-52,-42,-44,-35
2020-03-26,-47,-36,-42,-42,-36,-51,-53,-48,-45,-66,-42,-43,-53,-44,-50,-46,-37,-42,-41,-43,-41,-51,-56,-59,-43,-34,-43,-36,-35,-51,-43,-57,-47,-57,-38,-32,-48,-38,-48,-51,-45,-35,-31,-39,-45,-44,-53,-45,-56,-41,-44,-36
2020-03-27,-46,-37,-40,-41,-36,-50,-53,-47,-44,-64,-43,-42,-46,-43,-50,-46,-35,-38,-42,-43,-42,-49,-55,-58,-44,-35,-36,-36,-34,-52,-42,-56,-44,-57,-39,-30,-48,-38,-47,-50,-44,-35,-29,-39,-45,-41,-53,-44,-56,-41,-43,-35
2020-03-28,-34,-22,-30,-29,-23,-37,-40,-35,-34,-47,-36,-28,-43,-31,-35,-35,-23,-25,-29,-33,-31,-36,-41,-44,-37,-25,-28,-36,-21,-50,-34,-44,-33,-45,-29,-22,-35,-27,-36,-39,-35,-25,-22,-26,-32,-28,-41,-31,-40,-30,-31,-28
2020-03-29,-38,-32,-33,-33,-27,-39,-40,-38,-37,-47,-41,-37,-45,-38,-39,-36,-29,-30,-34,-35,-31,-39,-42,-43,-38,-30,-32,-37,-24,-52,-38,-44,-34,-46,-35,-24,-35,-32,-38,-38,-37,-34,-25,-34,-36,-40,-43,-36,-41,-33,-34,-29
2020-03-30,-48,-38,-46,-42,-34,-51,-50,-49,-45,-65,-43,-44,-47,-40,-50,-45,-37,-42,-43,-42,-44,-50,-58,-60,-49,-34,-43,-40,-35,-51,-46,-58,-45,-60,-41,-32,-48,-40,-47,-51,-47,-36,-30,-39,-46,-46,-54,-44,-56,-41,-43,-35
2020-03-31,-49,-40,-44,-44,-35,-53,-53,-51,-47,-69,-45,-47,-49,-45,-52,-47,-40,-45,-45,-45,-44,-55,-58,-61,-50,-36,-45,-42,-37,-52,-47,-60,-45,-61,-44,-34,-49,-41,-49,-53,-49,-39,-33,-42,-47,-47,-55,-48,-58,-42,-45,-36
2020-04-01,-49,-39,-44,-47,-35,-52,-54,-51,-47,-70,-45,-47,-49,-45,-52,-48,-39,-44,-46,-45,-44,-56,-59,-61,-50,-37,-44,-44,-38,-52,-48,-60,-46,-61,-45,-36,-49,-40,-49,-53,-49,-40,-34,-42,-47,-49,-55,-49,-58,-43,-45,-38
2020-04-02,-50,-39,-45,-47,-36,-53,-56,-51,-48,-70,-46,-47,-49,-46,-52,-48,-40,-46,-46,-45,-47,-56,-59,-61,-51,-37,-46,-44,-39,-54,-48,-61,-47,-62,-45,-40,-49,-42,-50,-53,-50,-41,-39,-42,-48,-49,-55,-49,-58,-42,-45,-41
2020-04-03,-50,-40,-43,-46,-36,-51,-54,-52,-47,-67,-48,-48,-47,-45,-51,-48,-39,-43,-46,-45,-47,-54,-59,-61,-51,-39,-39,-42,-39,-53,-48,-60,-44,-62,-44,-38,-48,-43,-48,-52,-50,-41,-35,-44,-48,-47,-56,-48,-57,-42,-45,-37
2020-04-04,-37,-26,-32,-34,-25,-39,-40,-38,-36,-48,-40,-36,-45,-34,-36,-36,-25,-30,-32,-36,-34,-39,-43,-45,-35,-31,-31,-36,-24,-53,-36,-45,-34,-47,-32,-26,-35,-32,-37,-38,-38,-31,-27,-31,-37,-34,-43,-34,-41,-30,-30,-27
2020-04-05,-40,-36,-32,-37,-29,-42,-41,-38,-39,-49,-45,-42,-46,-39,-39,-37,-29,-34,-36,-37,-34,-42,-42,-44,-37,-35,-34,-36,-27,-55,-37,-45,-35,-47,-38,-28,-37,-35,-39,-39,-37,-38,-29,-38,-39,-43,-42,-39,-42,-33,-33,-31
2020-04-06,-50,-41,-44,-47,-36,-54,-51,-52,-47,-68,-48,-50,-49,-41,-52,-47,-39,-44,-46,-43,-45,-55,-59,-61,-50,-40,-46,-40,-38,-54,-48,-61,-45,-62,-44,-35,-48,-42,-48,-53,-50,-41,-33,-43,-47,-49,-55,-48,-56,-42,-44,-35
2020-04-07,-51,-42,-44,-48,-37,-55,-55,-53,-49,-71,-49,-51,-51,-46,-53,-48,-42,-46,-47,-45,-47,-56,-60,-63,-51,-42,-48,-43,-41,-55,-49,-62,-47,-63,-45,-37,-50,-43,-49,-54,-52,-43,-36,-45,-49,-50,-56,-50,-58,-43,-46,-37
2020-04-08,-51,-43,-44,-49,-37,-55,-55,-54,-50,-71,-49,-52,-51,-46,-53,-48,-41,-46,-48,-46,-47,-57,-61,-62,-51,-42,-47,-43,-41,-55,-50,-63,-47,-63,-46,-38,-50,-43,-49,-54,-53,-45,-37,-45,-48,-50,-56,-52,-58,-45,-46,-38
2020-04-09,-52,-43,-44,-49,-38,-56,-55,-55,-51,-71,-50,-51,-51,-46,-53,-49,-43,-47,-48,-46,-48,-58,-61,-63,-52,-42,-48,-43,-41,-56,-50,-64,-48,-65,-47,-38,-51,-44,-50,-55,-54,-45,-38,-46,-50,-51,-56,-51,-58,-45,-47,-38
