date,UY,Artigas Department,Canelones Department,Cerro Largo Department,Colonia Department,Durazno Department,Flores Department,Florida Department,Lavalleja Department,Maldonado Department,Montevideo Department,Paysandú Department,Río Negro Department,Rivera Department,Rocha Department,Salto Department,San José Department,Soriano Department,Tacuarembó Department,Treinta y Tres Department
2020-02-15,-1,0,-1,0,0,0,0,0,0,0,-1,1,0,2,0,0,0,0,0,0
2020-02-16,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-02-17,1,0,1,0,2,0,0,0,0,3,2,1,0,0,2,2,1,2,-1,0
2020-02-18,1,0,1,2,-1,0,0,0,0,3,1,0,0,2,3,0,-1,1,1,0
2020-02-19,-1,0,-1,0,-1,0,0,-2,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0
2020-02-20,0,0,-1,-1,1,0,0,-1,0,1,0,-2,-1,0,2,-1,-1,0,0,0
2020-02-21,0,0,0,0,0,0,0,-1,0,4,0,-1,-1,-1,4,-2,0,0,0,0
2020-02-22,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,-1,1,0,0,0
2020-02-23,2,0,2,0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
2020-02-24,6,0,7,1,2,0,0,0,0,4,8,2,0,2,4,2,4,2,4,0
2020-02-25,5,0,6,3,3,0,0,0,0,4,5,3,0,4,4,2,4,3,4,0
2020-02-26,0,0,0,0,0,0,0,-2,0,1,0,0,-1,-2,1,-1,-1,0,0,0
2020-02-27,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0
2020-02-28,0,0,0,0,1,0,0,1,0,1,1,-1,0,-2,1,-2,-1,3,-1,0
2020-02-29,1,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
2020-03-01,4,0,4,0,4,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,-1,0,0,0,0,-1,0,1,0,-1,0,-1,1,-2,-1,-1,-1,0
2020-03-03,-1,-1,-2,0,-2,0,0,-1,0,1,-2,-2,-1,-1,0,-1,-2,0,-2,0
2020-03-04,-2,-3,-2,-2,-1,0,0,-3,-2,0,-2,-2,-2,-3,0,-2,-1,-1,-4,0
2020-03-05,-2,-3,-3,-2,-1,0,0,-2,-2,0,-2,-2,-2,-1,0,-2,-2,-1,-3,0
2020-03-06,-3,-3,-4,-3,-2,0,0,-3,-2,-1,-3,-3,-3,-4,-1,-3,-4,-2,-5,0
2020-03-07,1,0,0,0,2,0,0,0,0,2,1,1,0,2,0,1,1,0,0,0
2020-03-08,3,0,2,0,4,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
2020-03-09,-2,-3,-2,-3,-1,0,0,-3,-1,2,-1,-4,-3,-4,0,-4,-3,-2,-2,0
2020-03-10,-2,-2,-3,0,-2,0,0,-2,-1,1,-3,-3,-2,-2,1,-3,-3,-2,-3,0
2020-03-11,-2,-2,-2,-2,2,0,0,-4,-1,1,-2,-3,-2,-3,0,-3,-1,0,-3,0
2020-03-12,-1,-2,-2,-2,0,-2,0,-3,-2,1,-1,-2,-3,-1,0,-2,-2,-1,-1,0
2020-03-13,-2,-3,-4,-3,-2,0,0,-4,-2,0,-2,-3,-3,-2,-2,-2,-3,-1,-2,0
2020-03-14,9,0,8,0,11,0,0,0,0,10,10,6,0,0,0,8,9,0,0,0
2020-03-15,13,0,11,0,13,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0
2020-03-16,8,0,8,5,6,0,0,6,0,12,10,6,0,4,8,8,6,7,7,0
2020-03-17,12,0,11,8,11,0,0,9,0,14,13,11,0,8,9,12,9,11,8,0
2020-03-18,16,0,16,10,14,0,0,13,0,19,18,12,0,10,0,13,14,12,11,0
2020-03-19,17,0,17,12,15,0,0,0,0,19,19,13,0,12,0,14,14,12,12,0
2020-03-20,18,0,17,13,17,0,0,0,0,19,21,14,0,12,0,15,14,16,14,0
2020-03-21,18,0,17,0,19,0,0,0,0,21,19,16,0,0,0,17,17,0,0,0
2020-03-22,21,0,19,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0
2020-03-23,19,0,18,0,16,0,0,0,0,22,22,13,0,0,0,15,15,13,14,0
2020-03-24,19,0,19,0,16,0,0,0,0,23,22,15,0,0,0,16,16,0,15,0
2020-03-25,20,0,20,0,18,0,0,0,0,22,23,16,0,0,0,15,18,0,0,0
2020-03-26,21,0,21,0,19,0,0,0,0,24,24,16,0,0,0,16,18,0,0,0
2020-03-27,22,0,22,0,20,0,0,0,0,24,25,17,0,0,0,16,19,0,0,0
2020-03-28,20,0,19,0,21,0,0,0,0,24,21,18,0,0,0,17,19,0,0,0
2020-03-29,22,0,20,0,0,0,0,0,0,24,23,0,0,0,0,0,0,0,0,0
2020-03-30,20,0,20,0,17,0,0,0,0,23,23,15,0,0,0,14,17,0,0,0
2020-03-31,20,0,20,0,17,0,0,0,0,24,22,14,0,0,0,15,17,0,14,0
2020-04-01,21,0,21,0,18,0,0,0,0,23,24,15,0,12,0,14,19,0,0,0
2020-04-02,20,0,21,0,19,0,0,0,0,24,23,15,0,0,0,15,17,0,0,0
2020-04-03,21,0,21,0,20,0,0,0,0,22,24,16,0,14,0,14,18,0,0,0
2020-04-04,19,0,18,0,20,0,0,0,0,22,20,16,0,0,0,15,17,0,0,0
2020-04-05,21,0,20,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0
2020-04-06,21,0,22,0,18,0,0,0,0,25,25,15,0,0,0,13,18,0,0,0
2020-04-07,21,0,21,0,17,0,0,0,0,25,24,15,0,0,0,14,18,0,0,0
2020-04-08,20,0,21,0,18,0,0,0,0,23,24,15,0,0,0,13,19,0,0,0
2020-04-09,23,0,23,0,21,0,0,0,0,25,27,16,0,0,0,16,21,0,0,0
2020-04-10,28,0,29,0,26,0,0,0,0,29,32,0,0,0,0,0,27,0,0,0
2020-04-11,20,0,20,0,22,0,0,0,0,24,22,0,0,0,0,17,0,0,0,0
