date,UY,Artigas Department,Canelones Department,Cerro Largo Department,Colonia Department,Durazno Department,Flores Department,Florida Department,Lavalleja Department,Maldonado Department,Montevideo Department,Paysandú Department,Río Negro Department,Rivera Department,Rocha Department,Salto Department,San José Department,Soriano Department,Tacuarembó Department,Treinta y Tres Department
2020-02-15,2,2,-5,-3,-1,14,-3,12,13,-15,11,-5,4,-4,-24,-1,1,-1,6,6
2020-02-16,-7,-4,-7,-1,-11,-16,-28,-10,18,-21,2,-14,-22,-9,-26,-15,3,-14,-11,-5
2020-02-17,-5,-10,-12,8,-16,12,9,9,5,-24,0,9,-6,0,-28,-3,-4,-8,4,4
2020-02-18,-4,-3,-9,-3,-1,19,2,0,10,-26,3,4,9,-6,-27,1,4,-3,-5,2
2020-02-19,3,16,-3,5,-2,11,8,8,13,-18,10,10,6,13,-10,7,9,3,0,9
2020-02-20,-1,-2,-5,3,-4,12,9,18,16,-21,8,8,-1,-3,-26,1,0,0,0,9
2020-02-21,-2,25,-9,6,-6,3,8,8,15,-21,3,7,17,1,-30,3,1,-1,0,16
2020-02-22,2,58,-8,23,5,8,62,4,24,-9,4,9,0,-1,1,11,-1,-4,14,60
2020-02-23,5,98,-5,45,29,-8,31,-2,52,5,-1,15,11,11,29,10,1,5,2,73
2020-02-24,-8,48,-3,48,23,-7,-24,-13,4,19,-27,19,10,11,44,-6,-14,-17,3,-5
2020-02-25,-20,13,-17,-2,-6,-11,-28,-18,-1,0,-31,-2,-4,-16,16,-15,-29,-26,-7,-22
2020-02-26,-3,11,-4,4,-3,1,6,7,20,-10,-1,11,0,6,-5,8,7,0,-2,2
2020-02-27,-5,-9,-6,17,-4,12,-6,-3,8,-16,0,-3,-2,-9,-25,-2,-4,-8,-3,-6
2020-02-28,-2,7,-2,22,-3,16,15,5,14,-20,0,4,-1,14,-28,8,5,-11,1,14
2020-02-29,1,8,-6,17,-3,40,13,12,23,-25,11,-3,4,4,-34,9,14,1,-4,53
2020-03-01,-11,1,-16,8,-6,9,0,7,13,-38,-1,0,-8,-11,-51,-2,-4,2,-21,22
