date,total,Maldonado Department,Montevideo Department,Salto Department,San José Department,Soriano Department,Tacuarembó Department
2020-02-29,-10.553469221782578,-36.33771900552401,3.1442028832720057,-3.8368164506139175,-5.52839358591069,1.2541570169491525,-16.81765333827071
2020-03-01,-16.785661951518378,-44.4341843570042,5.439394672456607,-11.600479493219114,-13.802251788421337,-9.586306169491525,-11.521396230772666
2020-03-02,-14.261097107197735,-57.064593588834796,8.999517597326488,2.7976387549284203,-11.57744561205832,-6.688837423728813,-8.076192964827333
2020-03-03,-11.880494386844402,-54.72282308210559,10.828230257287785,8.3919584973238,-12.612998745961313,-18.061016949152542,10.474606590702464
2020-03-04,-14.46939984522865,-48.506870410271574,6.826430774482547,11.18863948479076,-13.166318416766623,-14.047136542372881,18.629404638392213
2020-03-05,-14.3318717826677,-53.676602106330996,9.494615078035883,7.876679603057628,-16.13945102291668,-15.739574237288135,-2.735840323040618
2020-03-06,-17.07599897248039,-59.29128937778861,11.781221361774659,7.300103591257932,-8.034662719818769,4.740174101694915,15.505331893896987
2020-03-07,-12.854450432232202,-51.10564112003248,7.009588223993537,-0.7671717366304913,-14.373823323367793,22.57675281355932,58.861786683947486
2020-03-08,-12.757135253461001,-48.98155362109506,24.39237491664599,-2.319712791659238,-19.84073694585567,16.617098847457626,18.654328201251026
2020-03-09,-25.024477582362817,-73.02353903231857,-1.7428576055030203,13.98627823971918,-19.847461316855043,-22.297409084745762,-11.74762549364498
2020-03-10,-22.24737582784253,-67.50378840302565,2.8322628520735997,13.98627823971918,-26.067504491272366,-24.081355932203387,-24.439470580210426
2020-03-11,-31.73761640222406,-67.27939270336365,-10.805335576098912,13.053412732255886,-34.23281213336462,-43.14608379661017,-20.864856507113554
2020-03-12,-22.4468317314397,-62.57954943822039,4.473048337276224,2.625240611865389,-23.40273232666485,-28.52773749152542,-28.040925413309093
2020-03-13,-24.67382123571618,-65.92438790155842,8.878366576035365,-4.055187431827091,-18.990584326649596,-33.97301369491525,-24.188317754479296
2020-03-14,-57.545440960811256,-78.86166304745672,-47.8365284540528,-45.27941450804383,-54.17921776635324,-53.30552623728813,-50.97827203199021
2020-03-15,-59.68476637842607,-76.12384372038389,-43.26236194152571,-70.37866860309832,-53.4827650557042,-49.21073247457627,-60.35144886404738
2020-03-16,-45.596584671524276,-73.94221886255878,-31.049957417360595,-43.82265019916121,-42.17621553247764,-36.79053233898305,-38.17906390541757
2020-03-17,-58.29903040303121,-79.16852896152443,-48.79333533873781,-55.94415519141526,-52.97555535746599,-55.18676176271186,-46.08654352166215
2020-03-18,-67.83189663422986,-84.5444361935981,-64.19668605360222,-55.01224745141343,-59.6883988636943,-51.1728813559322,-49.926689399062546
2020-03-19,-66.90539179171398,-84.44278685956317,-61.62103441985391,-60.38532291021125,-55.681634372498216,-57.05547498305084,-58.817691149658806
2020-03-20,-63.200176679326205,-82.4050053989573,-51.43480918090413,-55.15591257063262,-52.58938433721646,-63.99572176271186,-57.679834645296786
2020-03-21,-68.28871499408146,-83.26806578227271,-58.797357073226145,-62.93011105531389,-61.3656491158229,-70.86468772881355,-67.26965475451134
2020-03-22,-77.97197741065379,-87.55939379931334,-71.4199579686919,-71.15158694449758,-72.8921816331717,-74.7745366779661,-71.87284509482005
2020-03-23,-67.89865002132088,-85.07953363125367,-61.91103371491299,-59.67370168634552,-62.85077448225521,-61.31787498305084,-62.408601398471056
2020-03-24,-69.34309680704877,-83.63534592317252,-63.32191844317734,-61.53847493381063,-59.702808230121526,-69.23389830508474,-69.12933598320748
2020-03-25,-71.3312217816141,-85.09295901499414,-66.36691104129754,-64.33611368873906,-60.56544896689786,-68.2301873898305,-67.8112629474048
2020-03-26,-70.05727762315476,-84.57416382902342,-63.9944497031005,-60.38532291021125,-63.75087957174232,-66.89222725423728,-70.44453322329568
2020-03-27,-71.02158257643302,-85.520653382726,-62.44715083275245,-56.77837065034804,-61.35412162268112,-69.52576433898304,-68.8436736089026
2020-03-28,-76.89427212508843,-88.52602142862662,-70.1407176572636,-64.46541229603635,-71.87007724126745,-74.00008027118643,-75.6784814236467
2020-03-29,-79.09472112606367,-88.31792798064946,-71.08607720135417,-74.24517584501754,-78.06802605382971,-78.60925179661017,-76.81058633657976
2020-03-30,-68.94498925753021,-84.85034315168434,-63.890469692701025,-60.606567193808814,-62.85077448225521,-62.433323389830505,-65.34574742152518
2020-03-31,-71.90787453515917,-89.34401088081336,-67.84552586807898,-58.741793946343684,-65.58855410342731,-66.22372881355932,-64.2414418671654
2020-04-01,-72.99362239748247,-87.96982695937889,-70.11877692112425,-57.808928438880386,-60.56544896689786,-70.23760922033898,-61.10490734124077
2020-04-02,-70.02269454309557,-89.81006348780369,-66.09408275713014,-55.13484168648048,-62.94395505181791,-59.023403389830506,-58.817691149658806
2020-04-03,-66.84265969300198,-87.53062511986948,-58.136273153897406,-53.5334544909172,-56.24071778987442,-62.41598481355931,-60.78090102407618
2020-04-04,-71.50896272796481,-88.52602142862662,-61.68590268322239,-61.395767582052905,-66.89404270173358,-72.74592325423728,-70.94875607190093
2020-04-05,-79.88852345207339,-90.04021292335447,-71.9226870097976,-70.37866860309832,-77.63670568544154,-77.97061423728812,-76.26226795368585
2020-04-06,-69.82806418555317,-90.3614631771441,-66.01013559277094,-59.67370168634552,-60.36948158348765,-64.66325694915254,-60.940028386944
2020-04-07,-70.48272993365035,-90.3365303216261,-66.52049619427291,-55.94415519141526,-61.38486160439253,-65.22001789830507,-63.543582107118596
2020-04-08,-70.80684577699574,-88.1069576647279,-66.4575358210035,-58.741793946343684,-57.932377408430234,-63.213559322033895,-63.34035920996211
