date,total,Maldonado Department,Montevideo Department,Salto Department,San José Department,Soriano Department,Tacuarembó Department
2020-02-29,-5.706265785230607,-29.61462616086287,7.73126187650729,NA,13.531970242033056,NA,-1.2363557412600528
2020-03-01,-15.487519125592165,-37.394113787233564,1.9655913922940607,NA,-1.4548433652879968,NA,-18.336713105017875
2020-03-02,0.8076190647543529,-33.95095420022599,15.265868214011153,NA,6.690352535470099,NA,NA
2020-03-03,3.7389474477505393,-30.811913194740118,26.30460633718883,NA,11.53565537257827,NA,16.908078088289695
2020-03-04,6.4200502615279005,-25.881738461490766,30.959751424676824,NA,15.787459194443123,NA,20.80942458753798
2020-03-05,5.350977557141055,-33.470312530376226,21.878892711871504,NA,25.09074895286756,NA,23.71861002537073
2020-03-06,5.574736960384813,-32.27782231955137,25.13238508508997,NA,29.894622475599977,NA,38.4279745986824
2020-03-07,-4.32441111932023,-40.704881057995095,22.309799701746662,NA,1.1272627399913617,NA,18.54533611890079
2020-03-08,-9.992982668162103,-40.911144449247985,19.019675414400105,NA,8.727133246873295,NA,19.74708159057658
2020-03-09,6.315789607686722,-34.98418988571141,26.008659030943477,NA,23.418160819000036,NA,23.28982724107681
2020-03-10,4.190476279385793,-33.908742157364934,29.269863386083646,NA,23.07131074515654,NA,10.40519299195766
2020-03-11,2.397995038347086,-29.476477656953957,29.306495300211736,NA,11.276481289622991,NA,NA
2020-03-12,1.1428571671052163,-37.77402217298308,18.51261260304813,NA,21.505668050724093,NA,-2.6351874702906724
2020-03-13,0.6929323455290575,-37.351901744372505,23.42418108943275,NA,19.218384508211702,NA,6.986467474134373
2020-03-14,-32.57183026501344,-58.993248627548006,-15.369979969954144,NA,-20.297473626835913,NA,-18.54533611890079
2020-03-15,-39.952682551939276,-63.45237533705239,-19.251034872051193,NA,-15.999423128458595,NA,-46.5460056089467
2020-03-16,-27.094937918233423,-57.27406724557042,-16.8111565915724,NA,-16.72684481110259,NA,-22.125576228117303
2020-03-17,-37.4993491665534,-60.80836647057346,-25.99227106935986,NA,-25.37882720864313,NA,-31.21461757949564
2020-03-18,-47.154687717276005,-65.06506724726685,-36.804469723587516,NA,-36.08493282127904,NA,-39.01731057799221
2020-03-19,-48.93754489796014,-70.28880755132266,-42.859339529864606,NA,-35.84310124201593,NA,-38.21358320653544
2020-03-20,-46.4425072510378,-70.19287109027479,-34.858158286097705,NA,-37.36827809449997,NA,-40.75647662460141
2020-03-21,-56.51408641209556,-76.80864944413499,-42.10452929927792,NA,-49.616903063312094,NA,-59.345075580482536
2020-03-22,-68.61874832305628,-84.16889473572654,-55.151274715319026,NA,-49.45407622309112,NA,-73.34589102369415
2020-03-23,-52.68210638091752,-75.7255267989047,-44.21472035260391,NA,-45.72062056713683,NA,-58.22408740450335
2020-03-24,-56.55579067363204,-74.50233692054452,-46.79341430767336,NA,-48.45013795379967,NA,-57.22615796482378
2020-03-25,-56.82205634344181,-72.97310973144167,-47.00356581503977,NA,-52.99965475571352,NA,-57.22615796482378
2020-03-26,-58.33303381910934,-76.82303991329216,-51.87271840085503,NA,-50.18053443330778,NA,-61.93219323190617
2020-03-27,-58.42045236733002,-77.9454965075521,-49.59575573847221,NA,-52.3165528047273,NA,-60.552589430422366
2020-03-28,-64.13393619782656,-81.29176026890133,-51.140080118293234,NA,-57.51063266053366,NA,-66.76321002804285
2020-03-29,-71.54526467587519,-86.25359403429647,-58.61973858460496,NA,-61.08993272811306,NA,-76.16662799481156
2020-03-30,-57.18616662685639,-76.31553603434901,-50.3216460368525,NA,-51.29623550417102,NA,-65.21055487863772
2020-03-31,-58.9585977421564,-77.76225786695068,-50.65711725044658,NA,-48.45013795379967,NA,-59.82673516553019
2020-04-01,-59.84802131992461,-76.38844774474538,-51.03500436461003,NA,-50.7451292757308,NA,-52.02404216703362
2020-04-02,-55.35839716451759,-77.62027190459986,-48.132407168829054,NA,-41.81759376397015,NA,-44.80203258045079
2020-04-03,-51.73012641084461,-75.40797711283629,-41.39117097152039,NA,-41.63935136491169,NA,-47.743905495113125
2020-04-04,-56.83328441385548,-77.98866791502363,-41.68519028228531,NA,-40.59591072609917,NA,-54.39965261544232
2020-04-05,-68.28030220058723,-84.8203033062415,-52.95432386537388,NA,-55.271522739388416,NA,-73.34589102369415
2020-04-06,-54.67428687431355,-78.97297600537463,-47.38145292920322,NA,-46.83535816557272,NA,-54.7303729692475
2020-04-07,-55.580552557702255,-76.62157334509168,-46.98814185119637,NA,-48.45013795379967,NA,-55.925388666281904
2020-04-08,-54.424061305094725,-74.77095901147851,-45.47177340584151,NA,-46.234151370910666,NA,-55.925388666281904
2020-04-09,-59.729324575551566,-77.62027190459986,-56.80935082848517,NA,-41.81759376397015,NA,-59.297005761615495
2020-04-10,-70.09443757742373,-81.89232251506091,-66.67201170860315,NA,-68.33139149202339,NA,-78.02020021032432
2020-04-11,-62.99990108604636,-81.99977135143452,-51.00030044596237,NA,-52.99965475571352,NA,-67.9995657693029
