date,total,Maldonado Department,Montevideo Department,Salto Department,San José Department,Soriano Department,Tacuarembó Department
2020-02-29,1.806525786416385,-5.651206701609813,0.26313475718826007,-0.35984168420780366,3.9604100308908037,3.7873435152200297,9.562979273367475
2020-03-01,-6.602074749013643,-22.005731904625918,-7.838945907283473,-7.645908346657996,1.7226639007198437,1.6498941888135437,0.8208648406328096
2020-03-02,15.417791086669228,-2.5762994819193255,13.616511225763608,20.261705614827545,20.103468644280966,21.243338080852723,23.951182785583548
2020-03-03,18.7516081629457,-0.6191923346217696,16.634486401168306,23.086123362571815,24.954780160926106,22.845712275748827,29.958683082954813
2020-03-04,19.99561807948781,0.7943271062381279,17.748771853088268,25.73207515372785,27.930810819977,29.213391460685887,32.19731799376724
2020-03-05,21.433878080590816,0.6986250452455823,19.119542447393897,28.67579351375665,27.425267150330534,30.09631294767194,32.60775041408365
2020-03-06,23.423322696635385,0.9560635893155298,21.567550639719336,32.22183447727074,29.06494558074992,32.19479587906612,30.422942705935665
2020-03-07,4.820639598519708,-14.128495264329496,5.107854113362,9.348124399986016,9.719792440938653,13.524190268903645,8.999716045485943
2020-03-08,-1.9821602378735332,-19.494509824181524,-3.559443809330001,NA,4.594724257900048,5.774629660847403,4.924227843749279
2020-03-09,24.507076293414748,-0.44405756300541127,21.71194227543275,31.761120730643505,30.269665684077253,31.663522347069136,34.945388929796756
2020-03-10,24.171185522194857,1.5924822949159574,21.39371070988016,33.13453265743124,30.906841479027893,34.87017153661804,38.236537892708625
2020-03-11,22.06761898147076,0.8833300229611952,20.026739895461727,31.96286485548238,29.53328886715825,31.647365549137206,36.1238201881291
2020-03-12,20.842224698032407,-0.26222364711957474,17.627178896698027,30.015258111845533,27.200157138940785,31.679679145001064,32.991269233067825
2020-03-13,23.493738352288712,-0.26030960589972385,21.734740954755917,30.856181939899887,27.937487811840256,35.01178111849201,33.50358885842765
2020-03-14,-3.369429591779306,-23.50921128281881,-3.9232727335289312,1.0785551289463011,0.7201612652510975,4.328121046000506,14.062356696086658
2020-03-15,-11.85977703779538,-28.799621214486724,-11.119105894904635,-18.02215184438059,-2.2968852009597915,-4.1247354720338585,-10.669320528131365
2020-03-16,-1.3864599785534353,-19.991203520732835,-2.999926220940524,-3.8331383719386527,7.163458413292373,2.4045116922225027,6.282403510978973
2020-03-17,-11.73513323353547,-26.00607805411432,-14.547457298126405,-10.049379218536535,-0.9157017412464286,-1.2022558461112514,0.7881840390151099
