date,VN
2020-02-15,-6
2020-02-16,-9
2020-02-17,-9
2020-02-18,-11
2020-02-19,-9
2020-02-20,-12
2020-02-21,-7
2020-02-22,-7
2020-02-23,-9
2020-02-24,-7
2020-02-25,-10
2020-02-26,-10
2020-02-27,-11
2020-02-28,-6
2020-02-29,-5
2020-03-01,-5
2020-03-02,-8
2020-03-03,-12
2020-03-04,-14
2020-03-05,-11
2020-03-06,-3
2020-03-07,-7
2020-03-08,-4
2020-03-09,-12
2020-03-10,-15
2020-03-11,-14
2020-03-12,-18
2020-03-13,-15
2020-03-14,-18
2020-03-15,-19
2020-03-16,-18
2020-03-17,-24
2020-03-18,-24
2020-03-19,-26
2020-03-20,-21
2020-03-21,-23
2020-03-22,-26
2020-03-23,-23
2020-03-24,-27
2020-03-25,-29
2020-03-26,-34
2020-03-27,-35
2020-03-28,-45
2020-03-29,-52
2020-03-30,-50
2020-03-31,-52
2020-04-01,-61
2020-04-02,-67
2020-04-03,-63
2020-04-04,-65
2020-04-05,-67
2020-04-06,-60
2020-04-07,-61
2020-04-08,-60
2020-04-09,-61
2020-04-10,-58
2020-04-11,-59
