date,total
2020-02-29,-5.455914317027437
2020-03-01,-5.248757838013157
2020-03-02,-7.619548653398806
2020-03-03,-11.781727105317904
2020-03-04,-13.688995377621794
2020-03-05,-10.65863738192631
2020-03-06,-2.5009581048812124
2020-03-07,-6.576622931464844
2020-03-08,-4.116143678804813
2020-03-09,-12.383353967742519
2020-03-10,-14.75890700103654
2020-03-11,-13.969172531231147
2020-03-12,-17.928956722044337
2020-03-13,-15.10178669043949
2020-03-14,-17.514643764015776
2020-03-15,-19.19491298268716
2020-03-16,-18.068648447356647
2020-03-17,-23.7245759165358
2020-03-18,-24.058724873106733
2020-03-19,-26.135051881157903
2020-03-20,-20.80136782377874
2020-03-21,-23.268990403301334
2020-03-22,-25.756455557442152
2020-03-23,-22.923729604944203
2020-03-24,-26.609686266025875
2020-03-25,-28.277256236941593
2020-03-26,-33.58157328388578
2020-03-27,-34.58719496553748
2020-03-28,-44.44498603587218
2020-03-29,-51.95659108334784
2020-03-30,-49.55484585155776
2020-03-31,-51.36607606270943
2020-04-01,-60.594460666154
2020-04-02,-66.14958785627257
2020-04-03,-62.59062367274755
2020-04-04,-64.6494892151347
2020-04-05,-66.0876790234637
2020-04-06,-59.63169894567768
2020-04-07,-60.38174826624662
2020-04-08,-60.011088972378154
2020-04-09,-60.90321112721361
2020-04-10,-57.81808762557182
2020-04-11,-58.999911369833356
