date,total
2020-02-29,-5.363398297421825
2020-03-01,-5.038055302608546
2020-03-02,-9.366704172624237
2020-03-03,-9.876937210831402
2020-03-04,-16.478225927542773
2020-03-05,-13.508082440747406
2020-03-06,-8.582706907074192
2020-03-07,-8.978673137346936
2020-03-08,-11.249725945043528
2020-03-09,-14.471415113194526
2020-03-10,-14.475382710692251
2020-03-11,-16.62978815195579
2020-03-12,-20.88067211101611
2020-03-13,-20.798146083063475
2020-03-14,-20.569612467194634
2020-03-15,-23.020000681788304
2020-03-16,-22.443905525118936
2020-03-17,-23.628630137938995
2020-03-18,-27.60019523315962
2020-03-19,-29.44433455010123
2020-03-20,-26.80746925311459
2020-03-21,-27.24231793886502
2020-03-22,-31.263874762556956
2020-03-23,-28.98012564286765
2020-03-24,-28.809518950465563
2020-03-25,-31.154369071619804
2020-03-26,-34.78075318453854
2020-03-27,-34.28797757532136
2020-03-28,-40.29888778437156
2020-03-29,-48.8665178209544
2020-03-30,-47.592125504685804
2020-03-31,-46.310591512921306
2020-04-01,-58.33876008701807
2020-04-02,-66.59533047977943
2020-04-03,-63.348248687643
2020-04-04,-63.89895122032694
2020-04-05,-66.36759038341015
2020-04-06,-60.704241715160464
2020-04-07,-58.556184429893285
2020-04-08,-59.64330614426936
2020-04-09,-59.95119171009266
2020-04-10,-58.481593596936094
2020-04-11,-57.99992726071253
