date,YE
2020-02-15,3
2020-02-16,4
2020-02-17,6
2020-02-18,4
2020-02-19,2
2020-02-20,3
2020-02-21,0
2020-02-22,5
2020-02-23,7
2020-02-24,7
2020-02-25,7
2020-02-26,5
2020-02-27,5
2020-02-28,4
2020-02-29,8
2020-03-01,1
2020-03-02,7
2020-03-03,3
2020-03-04,2
2020-03-05,4
2020-03-06,0
2020-03-07,1
2020-03-08,3
2020-03-09,2
2020-03-10,1
2020-03-11,-1
2020-03-12,-1
2020-03-13,-3
2020-03-14,-1
2020-03-15,1
2020-03-16,0
2020-03-17,-3
2020-03-18,-1
2020-03-19,-4
2020-03-20,-5
2020-03-21,-1
2020-03-22,-5
2020-03-23,-6
2020-03-24,-10
2020-03-25,-14
2020-03-26,-13
2020-03-27,-14
2020-03-28,-8
2020-03-29,-8
2020-03-30,-8
2020-03-31,-9
2020-04-01,-11
2020-04-02,-16
2020-04-03,-13
2020-04-04,-6
2020-04-05,-5
2020-04-06,-5
2020-04-07,-5
2020-04-08,-10
2020-04-09,-11
2020-04-10,-14
2020-04-11,-9
