date,ZA,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,North West,Northern Cape,Western Cape
2020-02-15,0,-5,3,0,-2,-8,-1,-1,-9,-1
2020-02-16,-1,-3,0,-1,-3,-8,-3,-1,-7,-2
2020-02-17,-10,-10,-10,-8,-6,-13,-11,-11,-14,-9
2020-02-18,-12,-14,-13,-12,-12,-15,-12,-12,-11,-11
2020-02-19,-12,-12,-13,-12,-17,-16,-16,-13,-16,-9
2020-02-20,-6,-2,-9,-5,-7,-13,-12,-11,-14,-7
2020-02-21,-6,-6,-5,-7,-10,-9,-6,-11,-15,-7
2020-02-22,-8,-10,-5,-7,-11,-14,-7,-12,-19,-9
2020-02-23,-6,-11,-5,-5,-14,-19,-11,-10,-15,-4
2020-02-24,-13,-11,-11,-11,-14,-17,-16,-15,-17,-11
2020-02-25,-1,0,-2,-2,-3,-9,-1,-4,-4,0
2020-02-26,-1,-2,-4,0,-5,-7,-2,0,-7,1
2020-02-27,5,3,-1,7,-1,-1,7,4,0,6
2020-02-28,11,9,15,9,0,10,13,15,12,9
2020-02-29,14,10,19,15,9,7,15,16,6,12
2020-03-01,21,18,22,20,17,23,21,21,18,20
2020-03-02,5,7,10,6,7,6,6,8,11,6
2020-03-03,5,5,8,4,3,2,7,6,5,3
2020-03-04,5,4,5,5,2,3,6,7,3,3
2020-03-05,7,9,6,8,5,3,8,4,0,4
2020-03-06,8,3,6,9,3,3,9,7,-2,4
2020-03-07,6,0,8,8,2,-4,8,7,-10,3
2020-03-08,3,-3,3,4,-1,-2,4,3,-5,-1
2020-03-09,-7,-8,-7,-4,-6,-10,-7,-6,-11,-7
2020-03-10,-8,-9,-7,-8,-11,-13,-6,-6,-13,-8
2020-03-11,-8,-8,-9,-8,-10,-12,-9,-8,-15,-6
2020-03-12,-5,-5,-9,-4,-8,-12,-4,-10,-13,-4
2020-03-13,2,1,-1,0,-2,-3,5,1,-8,-1
2020-03-14,1,-2,3,2,-2,-8,4,0,-9,-2
2020-03-15,0,-7,-2,1,-5,-8,1,-1,-5,-1
2020-03-16,1,-1,1,7,-5,-8,1,2,-2,7
2020-03-17,-4,-5,-3,-4,-5,-12,-4,-12,-9,-3
2020-03-18,-4,-5,-4,-5,-3,-10,-5,-6,-9,-5
2020-03-19,-5,-2,-6,-4,-5,-10,-4,-9,-10,-6
2020-03-20,1,0,1,2,-6,-1,3,-1,-3,-5
2020-03-21,-6,-6,-6,-6,-10,-18,-5,-7,-17,-9
2020-03-22,-10,-10,-12,-12,-14,-13,-5,-15,-14,-11
2020-03-23,-4,-2,-1,-3,-6,-7,-1,-4,-4,-2
2020-03-24,18,15,22,21,11,9,21,19,14,17
2020-03-25,34,27,32,38,26,29,38,36,26,30
2020-03-26,59,46,58,68,50,49,61,56,38,60
2020-03-27,-61,-59,-63,-61,-62,-59,-57,-58,-61,-67
2020-03-28,-60,-59,-59,-60,-61,-60,-53,-58,-61,-64
2020-03-29,-60,-62,-60,-60,-61,-57,-53,-60,-57,-64
2020-03-30,-51,-49,-49,-50,-49,-51,-47,-48,-52,-54
2020-03-31,-47,-44,-43,-48,-44,-48,-43,-45,-45,-51
2020-04-01,-42,-42,-39,-43,-43,-43,-40,-40,-40,-45
2020-04-02,-41,-37,-39,-42,-39,-41,-36,-42,-38,-44
2020-04-03,-42,-41,-44,-43,-42,-42,-40,-44,-43,-46
2020-04-04,-52,-49,-49,-54,-53,-53,-47,-50,-50,-52
2020-04-05,-51,-54,-50,-50,-54,-48,-46,-52,-49,-57
2020-04-06,-48,-46,-44,-46,-46,-48,-44,-46,-43,-52
2020-04-07,-46,-46,-42,-45,-47,-47,-42,-45,-41,-48
2020-04-08,-44,-44,-44,-45,-46,-47,-45,-45,-39,-44
2020-04-09,-34,-33,-33,-34,-38,-40,-35,-36,-29,-34
2020-04-10,-62,-64,-69,-60,-60,-68,-62,-69,-78,-67
2020-04-11,-46,-49,-44,-45,-49,-53,-40,-46,-49,-50
