date,ZW
2020-02-15,-4
2020-02-16,-8
2020-02-17,-3
2020-02-18,1
2020-02-19,-2
2020-02-20,8
2020-02-21,-19
2020-02-22,-7
2020-02-23,-5
2020-02-24,-5
2020-02-25,-1
2020-02-26,0
2020-02-27,5
2020-02-28,6
2020-02-29,1
2020-03-01,5
2020-03-02,1
2020-03-03,0
2020-03-04,3
2020-03-05,3
2020-03-06,2
2020-03-07,1
2020-03-08,4
2020-03-09,0
2020-03-10,1
2020-03-11,1
2020-03-12,2
2020-03-13,3
2020-03-14,1
2020-03-15,0
2020-03-16,-3
2020-03-17,-3
2020-03-18,-2
2020-03-19,0
2020-03-20,-2
2020-03-21,-5
2020-03-22,-8
2020-03-23,-5
2020-03-24,-7
2020-03-25,-18
2020-03-26,-21
2020-03-27,-28
2020-03-28,-9
2020-03-29,-2
2020-03-30,-75
2020-03-31,-71
2020-04-01,-68
2020-04-02,-69
2020-04-03,-70
2020-04-04,-69
2020-04-05,-63
2020-04-06,-66
2020-04-07,-64
2020-04-08,-62
2020-04-09,-60
2020-04-10,-70
2020-04-11,-69
