date,ZW
2020-02-15,0
2020-02-16,-2
2020-02-17,8
2020-02-18,7
2020-02-19,5
2020-02-20,2
2020-02-21,-58
2020-02-22,-4
2020-02-23,0
2020-02-24,2
2020-02-25,6
2020-02-26,6
2020-02-27,6
2020-02-28,7
2020-02-29,5
2020-03-01,7
2020-03-02,11
2020-03-03,9
2020-03-04,9
2020-03-05,8
2020-03-06,7
2020-03-07,5
2020-03-08,10
2020-03-09,11
2020-03-10,10
2020-03-11,10
2020-03-12,9
2020-03-13,8
2020-03-14,8
2020-03-15,8
2020-03-16,12
2020-03-17,10
2020-03-18,9
2020-03-19,8
2020-03-20,11
2020-03-21,7
2020-03-22,6
2020-03-23,5
2020-03-24,-10
2020-03-25,-20
2020-03-26,-27
2020-03-27,-30
2020-03-28,-2
2020-03-29,14
2020-03-30,-72
2020-03-31,-72
2020-04-01,-70
2020-04-02,-71
2020-04-03,-68
2020-04-04,-56
2020-04-05,-36
2020-04-06,-67
2020-04-07,-67
2020-04-08,-66
2020-04-09,-66
2020-04-10,-78
2020-04-11,-58
