"country" "grocerypharmacy" "parks" "residential" "retailrecreation" "transitstations" "workplace" "avg"
"AE" 2 1 1 1 1 1 1.16666666666667
"AF" 8 6 6 4 3 2 4.83333333333333
"AO" 1 -2 -1 -2 -2 -1 -1.16666666666667
"AR" 2 -1 1 1 1 1 0.833333333333333
"AT" 5 1 2 2 2 3 2.5
"AU" 9 0 2 1 -1 4 2.5
"AW" 2 0 NA -2 0 0 0
"BA" 5 2 2 2 2 2 2.5
"BB" 7 2 NA 4 NA NA 4.33333333333333
"BD" 4 2 3 3 3 3 3
"BE" 5 5 2 1 0 2 2.5
"BF" 4 1 2 2 3 3 2.5
"BG" 4 2 3 1 3 3 2.66666666666667
"BO" 7 5 5 5 5 5 5.33333333333333
"BR" 4 4 5 4 4 5 4.33333333333333
"BW" 10 6 6 4 7 7 6.66666666666667
"BZ" 11 6 NA 6 NA NA 7.66666666666667
"CA" 7 2 1 0 -1 1 1.66666666666667
"CH" 7 0 2 3 1 4 2.83333333333333
"CL" 3 0 1 0 1 3 1.33333333333333
"CM" 0 1 3 1 1 3 1.5
"CO" 0 -2 -2 -3 -3 -2 -2
"CR" 5 3 4 4 3 5 4
"CZ" 5 3 2 2 2 4 3
"DE" NA 0 -3 -3 -4 -1 -2.2
"DK" 4 0 1 1 1 3 1.66666666666667
"DO" 2 0 0 0 0 0 0.333333333333333
"EC" 1 0 0 0 0 0 0.166666666666667
"EE" 2 0 -1 1 0 0 0.333333333333333
"EG" -6 -5 -3 -3 -4 -3 -4
"ES" 5 2 4 2 2 4 3.16666666666667
"FI" 3 0 0 1 0 3 1.16666666666667
"FR" 1 2 0 0 0 0 0.5
"GA" -2 -5 1 -2 -2 -1 -1.83333333333333
"GB" 4 2 0 -1 -2 0 0.5
"GH" 8 3 4 4 4 5 4.66666666666667
"GR" 6 -1 1 0 1 1 1.33333333333333
"GT" 6 2 2 2 2 3 2.83333333333333
"HK" 0 -2 1 -4 -2 5 -0.333333333333333
"HN" 0 -2 -1 -2 -2 -1 -1.33333333333333
"HR" 4 4 1 1 1 2 2.16666666666667
"HU" 7 5 4 3 3 4 4.33333333333333
"ID" 5 5 4 4 4 4 4.33333333333333
"IE" 3 12 0 1 -1 0 2.5
"IL" 5 1 0 1 0 1 1.33333333333333
"IN" 4 2 3 3 2 3 2.83333333333333
"IQ" 1 0 1 -1 -1 1 0.166666666666667
"IT" 2 1 1 0 0 1 0.833333333333333
"JM" 6 4 3 3 4 4 4
"JO" 3 0 1 1 0 1 1
"JP" 0 3 4 6 5 3 3.5
"KE" 6 1 3 4 5 3 3.66666666666667
"KG" 3 3 3 1 3 1 2.33333333333333
"KR" -3 -3 -7 -8 -7 0 -4.66666666666667
"KW" 6 3 4 4 2 4 3.83333333333333
"KZ" 7 8 5 4 6 3 5.5
"LA" 3 2 3 1 3 3 2.5
"LB" -1 -3 -1 -3 -1 -1 -1.66666666666667
"LK" 4 1 2 2 2 1 2
"LU" 6 4 NA 3 NA NA 4.33333333333333
"LY" 6 5 3 4 2 4 4
"MD" -1 -1 -1 -3 -1 -1 -1.33333333333333
"ML" 2 2 2 0 0 0 1
"MM" 4 1 4 3 4 8 4
"MN" 8 11 NA 10 10 11 10
"MU" 0 -1 -1 -1 -1 -1 -0.833333333333333
"MX" -1 -3 -1 0 -3 -1 -1.5
"MY" 5 3 3 1 3 1 2.66666666666667
"MZ" 7 2 2 2 2 6 3.5
"NA" 7 4 6 6 6 7 6
"NE" 8 5 5 3 3 4 4.66666666666667
"NG" 6 4 4 4 4 4 4.33333333333333
"NL" 10 0 1 2 1 2 2.66666666666667
"NO" 2 1 -1 -2 -1 1 0
"NZ" 4 -2 0 2 -1 1 0.666666666666667
"OM" 1 -1 -1 -1 -1 0 -0.5
"PA" 7 5 6 5 6 7 6
"PE" 6 4 4 3 4 4 4.16666666666667
"PG" 0 0 NA -2 0 -1 -0.6
"PH" 7 4 5 4 4 4 4.66666666666667
"PK" 2 2 1 1 2 0 1.33333333333333
"PL" 4 5 2 1 2 2 2.66666666666667
"PR" 10 3 4 4 5 4 5
"PT" 2 2 0 0 0 2 1
"PY" 4 2 4 2 3 4 3.16666666666667
"QA" 3 3 3 2 2 5 3
"RO" 6 5 4 4 3 3 4.16666666666667
"RW" 6 6 4 4 4 3 4.5
"SA" 8 5 5 5 3 5 5.16666666666667
"SE" 7 0 0 -2 -1 4 1.33333333333333
"SG" 0 5 1 4 2 2 2.33333333333333
"SI" 3 6 1 1 1 2 2.33333333333333
"SK" 5 4 2 2 1 3 2.83333333333333
"SV" 8 5 5 5 5 5 5.5
"TH" 3 4 5 3 4 5 4
"TR" 5 1 2 0 2 2 2
"TT" 6 2 2 2 0 3 2.5
"TW" NA 0 10 0 12 11 6.6
"TZ" 8 3 7 2 4 8 5.33333333333333
"UG" 6 4 5 3 2 4 4
"US" 8 3 3 3 2 3 3.66666666666667
"UY" 2 1 3 1 2 5 2.33333333333333
"VE" 2 1 0 0 0 0 0.5
"VN" -1 -2 -1 -2 -2 -1 -1.5
"ZA" 11 8 9 8 7 8 8.5
"ZM" -2 -2 7 1 2 7 2.16666666666667
"ZW" 7 4 4 5 5 5 5
