"country","Grocerypharmacy","Parks","Residential","Retailrecreation","Transitstations","Workplace","mean"
"AE",0.79393,"0.94525",0.94834,0.93661,0.96569,0.93147,0.915208
"AF",0.71635,"0.72765",0.78301,0.83107,0.86687,0.74922,0.789304
"AO",0.82545,"0.89072",0.90748,0.92213,0.90662,0.71416,0.855168
"AR",0.87987,"0.97255",0.96896,0.98421,0.96532,0.89425,0.938522
"AT",0.7233,"0.79091",0.81522,0.84628,0.85387,0.8006,0.807854
"AU",0.53819,"0.87275",0.94974,0.95066,0.9823,0.90995,0.866168
"AW",0.55976,"0.77294",0.62769,0.76439,0.76727,0.70375,0.684572
"BA",0.87045,"0.64346",0.93803,0.97398,0.95921,0.95822,0.939978
"BB",0.79568,"0.9219",0.80975,0.94117,0.96046,0.94063,0.889538
"BD",0.90166,"0.95203",0.92946,0.9556,0.94366,0.89212,0.9245
"BE",0.73867,"0.53214",0.94811,0.97995,0.98208,0.94221,0.918204
"BF",0.92762,"0.83873",0.96021,0.95944,0.94934,0.7555,0.910422
"BG",0.79294,"0.72242",0.83993,0.86456,0.87125,0.7899,0.831716
"BH",0.89271,"0.91334",0.97625,0.94922,0.93732,0.97202,0.945504
"BO",0.81211,"0.88727",0.88366,0.89635,0.89427,0.81242,0.859762
"BR",0.60875,"0.82463",0.84491,0.88037,0.8622,0.71507,0.78226
"BW",0.58452,"0.55275",0.87787,0.76254,0.81001,0.87968,0.782924
"BZ",0.60063,"0.87234",0.74992,0.86938,0.89382,0.80009,0.782768
"CA",0.6976,"0.66632",0.9364,0.96894,0.9772,0.92584,0.901196
"CH",0.40916,"0.13049",0.92576,0.95371,0.96413,0.91559,0.83367
"CL",0.77148,"0.84921",0.84968,0.86903,0.87088,0.78723,0.82966
"CM",0.89194,"0.94205",0.94791,0.9411,0.93454,0.84036,0.91117
"CO",0.90095,"0.9446",0.95432,0.94665,0.95041,0.95035,0.940536
"CR",0.829,"0.93417",0.90846,0.91358,0.93143,0.87746,0.891986
"CZ",0.64327,"0.47403",0.89638,0.96263,0.96108,0.90384,0.87344
"DE",0.51163,"-0.13455",0.88259,0.91987,0.94847,0.86784,0.82608
"DK",0.44529,"-0.52194",0.7722,0.68402,0.84146,0.73839,0.696272
"DO",0.91939,"0.96057",0.94796,0.96721,0.97193,0.93226,0.94775
"EC",0.92207,"0.97644",0.95282,0.97297,0.96237,0.89896,0.941838
"EE",0.80547,"-0.02993",0.86817,0.94947,0.96553,0.80803,0.879334
"EG",0.69206,"0.85251",0.8949,0.89832,0.89117,0.84511,0.844312
"ES",0.82642,"0.9487",0.93531,0.96616,0.97041,0.93891,0.927442
"FI",0.75434,"-0.55721",0.88829,0.96917,0.97771,0.84481,0.886864
"FR",0.81889,"0.96294",0.9114,0.95831,0.95869,0.89963,0.909384
"GA",0.82227,"0.56825",0.87827,0.8562,0.86744,0.86336,0.857508
